LR
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score;average precision score
1;137.000;7.000;2.000;1.000;0.824;0.813;0.917
2;136.000;4.000;5.000;2.000;0.533;0.509;0.646
3;137.000;4.000;5.000;1.000;0.571;0.552;0.716
4;135.000;3.000;6.000;3.000;0.400;0.369;0.527
5;134.000;2.000;4.000;3.000;0.364;0.338;0.530
6;138.000;3.000;6.000;0.000;0.500;0.484;0.558
7;136.000;5.000;4.000;2.000;0.625;0.604;0.720
8;137.000;4.000;5.000;1.000;0.571;0.552;0.674
9;137.000;4.000;5.000;1.000;0.571;0.552;0.717
10;135.000;4.000;2.000;2.000;0.667;0.652;0.719
11;134.000;3.000;6.000;4.000;0.375;0.340;0.521
12;137.000;5.000;4.000;1.000;0.667;0.649;0.825
13;138.000;4.000;5.000;0.000;0.615;0.600;0.675
14;136.000;5.000;4.000;2.000;0.625;0.604;0.790
15;135.000;3.000;3.000;2.000;0.545;0.527;0.550
16;134.000;4.000;5.000;4.000;0.471;0.438;0.498
17;135.000;4.000;5.000;3.000;0.500;0.472;0.656
18;137.000;5.000;4.000;1.000;0.667;0.649;0.719
19;137.000;4.000;5.000;1.000;0.571;0.552;0.879
20;135.000;2.000;4.000;2.000;0.400;0.379;0.605
21;133.000;4.000;5.000;5.000;0.444;0.408;0.610
22;136.000;6.000;3.000;2.000;0.706;0.688;0.686
23;135.000;4.000;5.000;3.000;0.500;0.472;0.535
24;137.000;5.000;4.000;1.000;0.667;0.649;0.842
25;137.000;3.000;3.000;0.000;0.667;0.657;0.760
max;138.000;7.000;6.000;5.000;0.824;0.813;0.917
avg;135.920;4.040;4.360;1.880;0.562;0.540;0.675
min;133.000;2.000;2.000;0.000;0.364;0.338;0.498
---
GB
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;133.000;3.000;6.000;5.000;0.353;0.313
2;136.000;3.000;6.000;2.000;0.429;0.402
3;136.000;3.000;6.000;2.000;0.429;0.402
4;134.000;5.000;4.000;4.000;0.556;0.527
5;137.000;0.000;6.000;0.000;0.000;0.000
6;135.000;2.000;7.000;3.000;0.286;0.253
7;137.000;4.000;5.000;1.000;0.571;0.552
8;135.000;3.000;6.000;3.000;0.400;0.369
9;136.000;4.000;5.000;2.000;0.533;0.509
10;136.000;2.000;4.000;1.000;0.444;0.428
11;135.000;1.000;8.000;3.000;0.154;0.121
12;137.000;3.000;6.000;1.000;0.462;0.440
13;136.000;2.000;7.000;2.000;0.308;0.281
14;137.000;3.000;6.000;1.000;0.462;0.440
15;135.000;3.000;3.000;2.000;0.545;0.527
16;137.000;3.000;6.000;1.000;0.462;0.440
17;134.000;4.000;5.000;4.000;0.471;0.438
18;135.000;3.000;6.000;3.000;0.400;0.369
19;137.000;3.000;6.000;1.000;0.462;0.440
20;135.000;1.000;5.000;2.000;0.222;0.200
21;133.000;2.000;7.000;5.000;0.250;0.208
22;136.000;2.000;7.000;2.000;0.308;0.281
23;136.000;3.000;6.000;2.000;0.429;0.402
24;137.000;2.000;7.000;1.000;0.333;0.312
25;136.000;3.000;3.000;1.000;0.600;0.586
max;137.000;5.000;8.000;5.000;0.600;0.586
avg;135.640;2.680;5.720;2.160;0.395;0.370
min;133.000;0.000;3.000;0.000;0.000;0.000
---
KNN
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;138.000;0.000;9.000;0.000;0.000;0.000
2;138.000;0.000;9.000;0.000;0.000;0.000
3;138.000;0.000;9.000;0.000;0.000;0.000
4;138.000;0.000;9.000;0.000;0.000;0.000
5;137.000;0.000;6.000;0.000;0.000;0.000
6;138.000;0.000;9.000;0.000;0.000;0.000
7;138.000;0.000;9.000;0.000;0.000;0.000
8;138.000;0.000;9.000;0.000;0.000;0.000
9;138.000;0.000;9.000;0.000;0.000;0.000
10;137.000;0.000;6.000;0.000;0.000;0.000
11;138.000;0.000;9.000;0.000;0.000;0.000
12;138.000;0.000;9.000;0.000;0.000;0.000
13;138.000;0.000;9.000;0.000;0.000;0.000
14;138.000;0.000;9.000;0.000;0.000;0.000
15;137.000;0.000;6.000;0.000;0.000;0.000
16;138.000;0.000;9.000;0.000;0.000;0.000
17;138.000;0.000;9.000;0.000;0.000;0.000
18;138.000;0.000;9.000;0.000;0.000;0.000
19;138.000;0.000;9.000;0.000;0.000;0.000
20;137.000;0.000;6.000;0.000;0.000;0.000
21;138.000;0.000;9.000;0.000;0.000;0.000
22;138.000;0.000;9.000;0.000;0.000;0.000
23;138.000;0.000;9.000;0.000;0.000;0.000
24;138.000;0.000;9.000;0.000;0.000;0.000
25;137.000;0.000;6.000;0.000;0.000;0.000
max;138.000;0.000;9.000;0.000;0.000;0.000
avg;137.800;0.000;8.400;0.000;0.000;0.000
min;137.000;0.000;6.000;0.000;0.000;0.000
