LR
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score;average precision score
1;453.000;2.000;10.000;3.000;0.235;0.224;0.431
2;451.000;6.000;6.000;5.000;0.522;0.510;0.629
3;453.000;0.000;12.000;3.000;0.000;-0.010;0.190
4;453.000;3.000;9.000;3.000;0.333;0.322;0.364
5;454.000;2.000;8.000;2.000;0.286;0.277;0.433
6;454.000;4.000;8.000;2.000;0.444;0.435;0.592
7;449.000;5.000;7.000;7.000;0.417;0.401;0.411
8;452.000;1.000;11.000;4.000;0.118;0.104;0.225
9;455.000;3.000;9.000;1.000;0.375;0.367;0.428
10;453.000;3.000;7.000;3.000;0.375;0.365;0.393
11;453.000;4.000;8.000;3.000;0.421;0.410;0.468
12;451.000;2.000;10.000;5.000;0.211;0.195;0.344
13;453.000;4.000;8.000;3.000;0.421;0.410;0.502
14;452.000;2.000;10.000;4.000;0.222;0.209;0.311
15;452.000;5.000;5.000;4.000;0.526;0.516;0.562
16;446.000;7.000;5.000;10.000;0.483;0.467;0.599
17;454.000;5.000;7.000;2.000;0.526;0.517;0.542
18;456.000;2.000;10.000;0.000;0.286;0.280;0.496
19;454.000;2.000;10.000;2.000;0.250;0.240;0.473
20;454.000;2.000;8.000;2.000;0.286;0.277;0.358
21;451.000;3.000;9.000;5.000;0.300;0.285;0.365
22;451.000;2.000;10.000;5.000;0.211;0.195;0.294
23;449.000;3.000;9.000;7.000;0.273;0.255;0.375
24;456.000;4.000;8.000;0.000;0.500;0.494;0.621
25;452.000;4.000;6.000;4.000;0.444;0.434;0.390
max;456.000;7.000;12.000;10.000;0.526;0.517;0.629
avg;452.440;3.200;8.400;3.560;0.339;0.327;0.432
min;446.000;0.000;5.000;0.000;0.000;-0.010;0.190
---
GB
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;454.000;1.000;11.000;2.000;0.133;0.124
2;453.000;5.000;7.000;3.000;0.500;0.490
3;452.000;1.000;11.000;4.000;0.118;0.104
4;456.000;2.000;10.000;0.000;0.286;0.280
5;453.000;1.000;9.000;3.000;0.143;0.132
6;455.000;1.000;11.000;1.000;0.143;0.137
7;453.000;3.000;9.000;3.000;0.333;0.322
8;456.000;1.000;11.000;0.000;0.154;0.150
9;455.000;2.000;10.000;1.000;0.267;0.259
10;451.000;3.000;7.000;5.000;0.333;0.320
11;454.000;1.000;11.000;2.000;0.133;0.124
12;452.000;2.000;10.000;4.000;0.222;0.209
13;454.000;2.000;10.000;2.000;0.250;0.240
14;453.000;0.000;12.000;3.000;0.000;-0.010
15;454.000;4.000;6.000;2.000;0.500;0.492
16;456.000;4.000;8.000;0.000;0.500;0.494
17;455.000;3.000;9.000;1.000;0.375;0.367
18;452.000;0.000;12.000;4.000;0.000;-0.013
19;454.000;2.000;10.000;2.000;0.250;0.240
20;454.000;2.000;8.000;2.000;0.286;0.277
21;455.000;1.000;11.000;1.000;0.143;0.137
22;449.000;0.000;12.000;7.000;0.000;-0.019
23;453.000;2.000;10.000;3.000;0.235;0.224
24;456.000;3.000;9.000;0.000;0.400;0.394
25;455.000;2.000;8.000;1.000;0.308;0.301
max;456.000;5.000;12.000;7.000;0.500;0.494
avg;453.760;1.920;9.680;2.240;0.240;0.231
min;449.000;0.000;6.000;0.000;0.000;-0.019
---
KNN
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;456.000;0.000;12.000;0.000;0.000;0.000
2;456.000;0.000;12.000;0.000;0.000;0.000
3;456.000;0.000;12.000;0.000;0.000;0.000
4;456.000;0.000;12.000;0.000;0.000;0.000
5;456.000;0.000;10.000;0.000;0.000;0.000
6;456.000;0.000;12.000;0.000;0.000;0.000
7;456.000;0.000;12.000;0.000;0.000;0.000
8;456.000;0.000;12.000;0.000;0.000;0.000
9;456.000;0.000;12.000;0.000;0.000;0.000
10;456.000;0.000;10.000;0.000;0.000;0.000
11;456.000;0.000;12.000;0.000;0.000;0.000
12;456.000;0.000;12.000;0.000;0.000;0.000
13;456.000;0.000;12.000;0.000;0.000;0.000
14;456.000;0.000;12.000;0.000;0.000;0.000
15;456.000;0.000;10.000;0.000;0.000;0.000
16;456.000;0.000;12.000;0.000;0.000;0.000
17;456.000;0.000;12.000;0.000;0.000;0.000
18;456.000;0.000;12.000;0.000;0.000;0.000
19;456.000;0.000;12.000;0.000;0.000;0.000
20;456.000;0.000;10.000;0.000;0.000;0.000
21;456.000;0.000;12.000;0.000;0.000;0.000
22;456.000;0.000;12.000;0.000;0.000;0.000
23;456.000;0.000;12.000;0.000;0.000;0.000
24;456.000;0.000;12.000;0.000;0.000;0.000
25;456.000;0.000;10.000;0.000;0.000;0.000
max;456.000;0.000;12.000;0.000;0.000;0.000
avg;456.000;0.000;11.600;0.000;0.000;0.000
min;456.000;0.000;10.000;0.000;0.000;0.000
