LR
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score;average precision score
1;310.000;0.000;13.000;23.000;0.000;-0.050;0.056
2;320.000;4.000;9.000;13.000;0.267;0.234;0.213
3;323.000;7.000;6.000;10.000;0.467;0.443;0.315
4;330.000;2.000;11.000;3.000;0.222;0.206;0.373
5;327.000;3.000;10.000;4.000;0.300;0.281;0.430
6;206.000;7.000;6.000;127.000;0.095;0.029;0.062
7;313.000;4.000;9.000;20.000;0.216;0.176;0.157
8;328.000;3.000;10.000;5.000;0.286;0.265;0.336
9;326.000;1.000;12.000;7.000;0.095;0.069;0.295
10;329.000;4.000;9.000;2.000;0.421;0.407;0.566
11;318.000;5.000;8.000;15.000;0.303;0.270;0.182
12;210.000;6.000;7.000;123.000;0.085;0.017;0.054
13;196.000;9.000;4.000;137.000;0.113;0.047;0.068
14;328.000;2.000;11.000;5.000;0.200;0.178;0.390
15;217.000;7.000;6.000;114.000;0.104;0.039;0.102
16;200.000;7.000;6.000;133.000;0.092;0.024;0.061
17;199.000;10.000;3.000;134.000;0.127;0.063;0.097
18;190.000;4.000;9.000;143.000;0.050;-0.020;0.049
19;330.000;1.000;12.000;3.000;0.118;0.102;0.273
20;305.000;3.000;10.000;26.000;0.143;0.096;0.127
21;328.000;1.000;12.000;5.000;0.105;0.084;0.297
22;322.000;3.000;10.000;11.000;0.222;0.191;0.213
23;326.000;4.000;9.000;7.000;0.333;0.310;0.331
24;211.000;8.000;5.000;122.000;0.112;0.047;0.065
25;329.000;3.000;10.000;2.000;0.333;0.319;0.473
max;330.000;10.000;13.000;143.000;0.467;0.443;0.566
avg;284.840;4.320;8.680;47.760;0.192;0.153;0.223
min;190.000;0.000;3.000;2.000;0.000;-0.050;0.049
---
GB
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;333.000;13.000;0.000;0.000;1.000;1.000
2;333.000;12.000;1.000;0.000;0.960;0.959
3;333.000;12.000;1.000;0.000;0.960;0.959
4;332.000;13.000;0.000;1.000;0.963;0.961
5;329.000;13.000;0.000;2.000;0.929;0.926
6;331.000;9.000;4.000;2.000;0.750;0.741
7;333.000;13.000;0.000;0.000;1.000;1.000
8;333.000;13.000;0.000;0.000;1.000;1.000
9;333.000;10.000;3.000;0.000;0.870;0.865
10;331.000;13.000;0.000;0.000;1.000;1.000
11;333.000;10.000;3.000;0.000;0.870;0.865
12;330.000;13.000;0.000;3.000;0.897;0.892
13;328.000;13.000;0.000;5.000;0.839;0.831
14;333.000;13.000;0.000;0.000;1.000;1.000
15;326.000;11.000;2.000;5.000;0.759;0.748
16;330.000;8.000;5.000;3.000;0.667;0.655
17;327.000;10.000;3.000;6.000;0.690;0.676
18;328.000;12.000;1.000;5.000;0.800;0.791
19;332.000;13.000;0.000;1.000;0.963;0.961
20;331.000;13.000;0.000;0.000;1.000;1.000
21;331.000;13.000;0.000;2.000;0.929;0.926
22;333.000;10.000;3.000;0.000;0.870;0.865
23;333.000;13.000;0.000;0.000;1.000;1.000
24;326.000;12.000;1.000;7.000;0.750;0.738
25;329.000;13.000;0.000;2.000;0.929;0.926
max;333.000;13.000;5.000;7.000;1.000;1.000
avg;330.840;11.920;1.080;1.760;0.896;0.891
min;326.000;8.000;0.000;0.000;0.667;0.655
---
KNN
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;333.000;6.000;7.000;0.000;0.632;0.623
2;333.000;8.000;5.000;0.000;0.762;0.755
3;333.000;7.000;6.000;0.000;0.700;0.692
4;333.000;7.000;6.000;0.000;0.700;0.692
5;331.000;5.000;8.000;0.000;0.556;0.546
6;332.000;6.000;7.000;1.000;0.600;0.589
7;333.000;9.000;4.000;0.000;0.818;0.812
8;333.000;6.000;7.000;0.000;0.632;0.623
9;333.000;4.000;9.000;0.000;0.471;0.461
10;331.000;2.000;11.000;0.000;0.267;0.259
11;332.000;6.000;7.000;1.000;0.600;0.589
12;332.000;9.000;4.000;1.000;0.783;0.775
13;330.000;8.000;5.000;3.000;0.667;0.655
14;333.000;3.000;10.000;0.000;0.375;0.366
15;326.000;4.000;9.000;5.000;0.364;0.343
16;330.000;0.000;13.000;3.000;0.000;-0.014
17;330.000;8.000;5.000;3.000;0.667;0.655
18;329.000;7.000;6.000;4.000;0.583;0.568
19;333.000;4.000;9.000;0.000;0.471;0.461
20;330.000;8.000;5.000;1.000;0.727;0.719
21;333.000;8.000;5.000;0.000;0.762;0.755
22;333.000;4.000;9.000;0.000;0.471;0.461
23;333.000;7.000;6.000;0.000;0.700;0.692
24;329.000;6.000;7.000;4.000;0.522;0.506
25;331.000;4.000;9.000;0.000;0.471;0.461
max;333.000;9.000;13.000;5.000;0.818;0.812
avg;331.560;5.840;7.160;1.040;0.572;0.562
min;326.000;0.000;4.000;0.000;0.000;-0.014
