LR
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score;average precision score
1;211.000;5.000;9.000;121.000;0.071;-0.002;0.045
2;325.000;0.000;14.000;7.000;0.000;-0.028;0.051
3;202.000;7.000;7.000;130.000;0.093;0.021;0.045
4;219.000;6.000;8.000;113.000;0.090;0.019;0.053
5;200.000;8.000;5.000;131.000;0.105;0.039;0.061
6;205.000;7.000;7.000;127.000;0.095;0.023;0.047
7;196.000;6.000;8.000;136.000;0.077;0.004;0.041
8;212.000;9.000;5.000;120.000;0.126;0.057;0.057
9;223.000;3.000;11.000;109.000;0.048;-0.026;0.048
10;211.000;6.000;7.000;120.000;0.086;0.019;0.047
11;303.000;3.000;11.000;29.000;0.130;0.079;0.062
12;323.000;1.000;13.000;9.000;0.083;0.051;0.071
13;308.000;0.000;14.000;24.000;0.000;-0.054;0.043
14;224.000;7.000;7.000;108.000;0.109;0.039;0.050
15;313.000;2.000;11.000;18.000;0.121;0.079;0.063
16;307.000;3.000;11.000;25.000;0.143;0.094;0.094
17;201.000;6.000;8.000;131.000;0.079;0.007;0.041
18;318.000;0.000;14.000;14.000;0.000;-0.042;0.047
19;202.000;3.000;11.000;130.000;0.041;-0.035;0.040
20;215.000;8.000;5.000;116.000;0.117;0.052;0.060
21;209.000;4.000;10.000;123.000;0.057;-0.017;0.038
22;323.000;0.000;14.000;9.000;0.000;-0.033;0.094
23;312.000;0.000;14.000;20.000;0.000;-0.050;0.052
24;216.000;7.000;7.000;116.000;0.102;0.032;0.062
25;203.000;4.000;9.000;128.000;0.055;-0.015;0.043
max;325.000;9.000;14.000;136.000;0.143;0.094;0.094
avg;247.240;4.200;9.600;84.560;0.073;0.013;0.054
min;196.000;0.000;5.000;7.000;0.000;-0.054;0.038
---
GB
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;328.000;7.000;7.000;4.000;0.560;0.544
2;332.000;14.000;0.000;0.000;1.000;1.000
3;329.000;8.000;6.000;3.000;0.640;0.627
4;325.000;6.000;8.000;7.000;0.444;0.422
5;323.000;11.000;2.000;8.000;0.688;0.673
6;329.000;8.000;6.000;3.000;0.640;0.627
7;324.000;9.000;5.000;8.000;0.581;0.561
8;331.000;5.000;9.000;1.000;0.500;0.488
9;326.000;9.000;5.000;6.000;0.621;0.604
10;325.000;9.000;4.000;6.000;0.643;0.628
11;332.000;11.000;3.000;0.000;0.880;0.876
12;329.000;13.000;1.000;3.000;0.867;0.861
13;331.000;5.000;9.000;1.000;0.500;0.488
14;330.000;8.000;6.000;2.000;0.667;0.655
15;328.000;11.000;2.000;3.000;0.815;0.807
16;332.000;14.000;0.000;0.000;1.000;1.000
17;327.000;5.000;9.000;5.000;0.417;0.396
18;331.000;9.000;5.000;1.000;0.750;0.741
19;328.000;11.000;3.000;4.000;0.759;0.748
20;327.000;6.000;7.000;4.000;0.522;0.505
21;329.000;4.000;10.000;3.000;0.381;0.364
22;331.000;10.000;4.000;1.000;0.800;0.793
23;326.000;12.000;2.000;6.000;0.750;0.738
24;328.000;7.000;7.000;4.000;0.560;0.544
25;322.000;7.000;6.000;9.000;0.483;0.460
max;332.000;14.000;10.000;9.000;1.000;1.000
avg;328.120;8.760;5.040;3.680;0.659;0.646
min;322.000;4.000;0.000;0.000;0.381;0.364
---
KNN
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;332.000;2.000;12.000;0.000;0.250;0.242
2;332.000;2.000;12.000;0.000;0.250;0.242
3;329.000;5.000;9.000;3.000;0.455;0.438
4;328.000;1.000;13.000;4.000;0.105;0.086
5;329.000;3.000;10.000;2.000;0.333;0.319
6;329.000;2.000;12.000;3.000;0.211;0.193
7;328.000;3.000;11.000;4.000;0.286;0.266
8;331.000;4.000;10.000;1.000;0.421;0.408
9;329.000;0.000;14.000;3.000;0.000;-0.014
10;329.000;3.000;10.000;2.000;0.333;0.319
11;331.000;1.000;13.000;1.000;0.125;0.116
12;332.000;1.000;13.000;0.000;0.133;0.129
13;332.000;3.000;11.000;0.000;0.353;0.344
14;332.000;1.000;13.000;0.000;0.133;0.129
15;330.000;4.000;9.000;1.000;0.444;0.433
16;332.000;2.000;12.000;0.000;0.250;0.242
17;332.000;3.000;11.000;0.000;0.353;0.344
18;332.000;3.000;11.000;0.000;0.353;0.344
19;327.000;4.000;10.000;5.000;0.348;0.326
20;330.000;2.000;11.000;1.000;0.250;0.239
21;330.000;2.000;12.000;2.000;0.222;0.208
22;332.000;5.000;9.000;0.000;0.526;0.516
23;332.000;4.000;10.000;0.000;0.444;0.434
24;330.000;1.000;13.000;2.000;0.118;0.105
25;326.000;4.000;9.000;5.000;0.364;0.343
max;332.000;5.000;14.000;5.000;0.526;0.516
avg;330.240;2.600;11.200;1.560;0.282;0.270
min;326.000;0.000;9.000;0.000;0.000;-0.014
