LR
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score;average precision score
1;203.000;1.000;8.000;2.000;0.167;0.149;0.192
2;203.000;4.000;5.000;2.000;0.533;0.517;0.471
3;205.000;2.000;7.000;0.000;0.364;0.354;0.440
4;205.000;3.000;6.000;0.000;0.500;0.489;0.744
5;200.000;2.000;5.000;3.000;0.333;0.314;0.271
6;204.000;4.000;5.000;1.000;0.571;0.558;0.612
7;203.000;2.000;7.000;2.000;0.308;0.289;0.305
8;205.000;1.000;8.000;0.000;0.200;0.193;0.437
9;205.000;1.000;8.000;0.000;0.200;0.193;0.360
10;200.000;3.000;4.000;3.000;0.462;0.444;0.391
11;205.000;5.000;4.000;0.000;0.714;0.705;0.834
12;200.000;2.000;7.000;5.000;0.250;0.221;0.210
13;202.000;3.000;6.000;3.000;0.400;0.379;0.483
14;204.000;1.000;8.000;1.000;0.182;0.169;0.330
15;201.000;1.000;6.000;2.000;0.200;0.184;0.212
16;199.000;0.000;9.000;6.000;0.000;-0.035;0.203
17;205.000;3.000;6.000;0.000;0.500;0.489;0.564
18;200.000;3.000;6.000;5.000;0.353;0.326;0.382
19;201.000;2.000;7.000;4.000;0.267;0.241;0.333
20;202.000;2.000;5.000;1.000;0.400;0.388;0.596
21;205.000;1.000;8.000;0.000;0.200;0.193;0.288
22;203.000;1.000;8.000;2.000;0.167;0.149;0.410
23;201.000;5.000;4.000;4.000;0.556;0.536;0.473
24;201.000;1.000;8.000;4.000;0.143;0.116;0.248
25;202.000;1.000;6.000;1.000;0.222;0.211;0.342
max;205.000;5.000;9.000;6.000;0.714;0.705;0.834
avg;202.560;2.160;6.440;2.040;0.328;0.311;0.405
min;199.000;0.000;4.000;0.000;0.000;-0.035;0.192
---
GB
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;199.000;1.000;8.000;6.000;0.125;0.092
2;203.000;1.000;8.000;2.000;0.167;0.149
3;205.000;1.000;8.000;0.000;0.200;0.193
4;204.000;2.000;7.000;1.000;0.333;0.319
5;201.000;1.000;6.000;2.000;0.200;0.184
6;203.000;2.000;7.000;2.000;0.308;0.289
7;203.000;0.000;9.000;2.000;0.000;-0.016
8;205.000;1.000;8.000;0.000;0.200;0.193
9;204.000;1.000;8.000;1.000;0.182;0.169
10;201.000;1.000;6.000;2.000;0.200;0.184
11;205.000;0.000;9.000;0.000;0.000;0.000
12;199.000;3.000;6.000;6.000;0.333;0.304
13;204.000;1.000;8.000;1.000;0.182;0.169
14;204.000;1.000;8.000;1.000;0.182;0.169
15;199.000;2.000;5.000;4.000;0.308;0.286
16;199.000;0.000;9.000;6.000;0.000;-0.035
17;205.000;1.000;8.000;0.000;0.200;0.193
18;201.000;2.000;7.000;4.000;0.267;0.241
19;204.000;1.000;8.000;1.000;0.182;0.169
20;203.000;0.000;7.000;0.000;0.000;0.000
21;204.000;1.000;8.000;1.000;0.182;0.169
22;205.000;0.000;9.000;0.000;0.000;0.000
23;205.000;2.000;7.000;0.000;0.364;0.354
24;203.000;0.000;9.000;2.000;0.000;-0.016
25;199.000;1.000;6.000;4.000;0.167;0.143
max;205.000;3.000;9.000;6.000;0.364;0.354
avg;202.680;1.040;7.560;1.920;0.171;0.156
min;199.000;0.000;5.000;0.000;0.000;-0.035
---
KNN
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;200.000;0.000;9.000;5.000;0.000;-0.031
2;204.000;0.000;9.000;1.000;0.000;-0.008
3;205.000;0.000;9.000;0.000;0.000;0.000
4;205.000;0.000;9.000;0.000;0.000;0.000
5;203.000;1.000;6.000;0.000;0.250;0.244
6;204.000;1.000;8.000;1.000;0.182;0.169
7;205.000;0.000;9.000;0.000;0.000;0.000
8;203.000;0.000;9.000;2.000;0.000;-0.016
9;204.000;0.000;9.000;1.000;0.000;-0.008
10;202.000;0.000;7.000;1.000;0.000;-0.008
11;205.000;0.000;9.000;0.000;0.000;0.000
12;201.000;0.000;9.000;4.000;0.000;-0.027
13;205.000;0.000;9.000;0.000;0.000;0.000
14;205.000;0.000;9.000;0.000;0.000;0.000
15;200.000;0.000;7.000;3.000;0.000;-0.020
16;205.000;0.000;9.000;0.000;0.000;0.000
17;205.000;0.000;9.000;0.000;0.000;0.000
18;204.000;0.000;9.000;1.000;0.000;-0.008
19;200.000;0.000;9.000;5.000;0.000;-0.031
20;203.000;0.000;7.000;0.000;0.000;0.000
21;205.000;0.000;9.000;0.000;0.000;0.000
22;205.000;0.000;9.000;0.000;0.000;0.000
23;204.000;1.000;8.000;1.000;0.182;0.169
24;204.000;0.000;9.000;1.000;0.000;-0.008
25;199.000;0.000;7.000;4.000;0.000;-0.025
max;205.000;1.000;9.000;5.000;0.250;0.244
avg;203.400;0.120;8.480;1.200;0.025;0.016
min;199.000;0.000;6.000;0.000;0.000;-0.031
