LR
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score;average precision score
1;595.000;11.000;20.000;8.000;0.440;0.418;0.440
2;592.000;12.000;19.000;11.000;0.444;0.420;0.501
3;594.000;7.000;24.000;9.000;0.298;0.274;0.402
4;594.000;10.000;21.000;9.000;0.400;0.377;0.436
5;595.000;10.000;17.000;5.000;0.476;0.460;0.578
6;596.000;11.000;20.000;7.000;0.449;0.428;0.521
7;595.000;8.000;23.000;8.000;0.340;0.318;0.507
8;596.000;14.000;17.000;7.000;0.538;0.519;0.495
9;595.000;5.000;26.000;8.000;0.227;0.204;0.369
10;592.000;10.000;17.000;8.000;0.444;0.425;0.563
11;598.000;9.000;22.000;5.000;0.400;0.381;0.533
12;594.000;8.000;23.000;9.000;0.333;0.309;0.351
13;595.000;15.000;16.000;8.000;0.556;0.536;0.659
14;596.000;11.000;20.000;7.000;0.449;0.428;0.511
15;595.000;6.000;21.000;5.000;0.316;0.298;0.394
16;592.000;9.000;22.000;11.000;0.353;0.327;0.382
17;593.000;10.000;21.000;10.000;0.392;0.368;0.494
18;600.000;10.000;21.000;3.000;0.455;0.438;0.611
19;594.000;13.000;18.000;9.000;0.491;0.469;0.520
20;592.000;8.000;19.000;8.000;0.372;0.351;0.442
21;588.000;12.000;19.000;15.000;0.414;0.386;0.484
22;600.000;11.000;20.000;3.000;0.489;0.473;0.543
23;594.000;13.000;18.000;9.000;0.491;0.469;0.546
24;600.000;9.000;22.000;3.000;0.419;0.402;0.497
25;592.000;8.000;19.000;8.000;0.372;0.351;0.382
max;600.000;15.000;26.000;15.000;0.556;0.536;0.659
avg;594.680;10.000;20.200;7.720;0.414;0.393;0.486
min;588.000;5.000;16.000;3.000;0.227;0.204;0.351
---
GB
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;601.000;23.000;8.000;2.000;0.821;0.813
2;595.000;22.000;9.000;8.000;0.721;0.707
3;597.000;25.000;6.000;6.000;0.806;0.797
4;600.000;21.000;10.000;3.000;0.764;0.753
5;596.000;22.000;5.000;4.000;0.830;0.823
6;596.000;19.000;12.000;7.000;0.667;0.651
7;597.000;23.000;8.000;6.000;0.767;0.755
8;601.000;20.000;11.000;2.000;0.755;0.744
9;600.000;26.000;5.000;3.000;0.867;0.860
10;597.000;22.000;5.000;3.000;0.846;0.840
11;603.000;19.000;12.000;0.000;0.760;0.751
12;594.000;26.000;5.000;9.000;0.788;0.776
13;598.000;25.000;6.000;5.000;0.820;0.811
14;596.000;24.000;7.000;7.000;0.774;0.763
15;597.000;19.000;8.000;3.000;0.776;0.766
16;598.000;25.000;6.000;5.000;0.820;0.811
17;600.000;22.000;9.000;3.000;0.786;0.776
18;601.000;24.000;7.000;2.000;0.842;0.835
19;600.000;24.000;7.000;3.000;0.828;0.819
20;597.000;17.000;10.000;3.000;0.723;0.713
21;599.000;23.000;8.000;4.000;0.793;0.783
22;602.000;23.000;8.000;1.000;0.836;0.829
23;598.000;17.000;14.000;5.000;0.642;0.626
24;599.000;26.000;5.000;4.000;0.852;0.845
25;594.000;17.000;10.000;6.000;0.680;0.667
max;603.000;26.000;14.000;9.000;0.867;0.860
avg;598.240;22.160;8.040;4.160;0.783;0.773
min;594.000;17.000;5.000;0.000;0.642;0.626
---
KNN
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;600.000;16.000;15.000;3.000;0.640;0.626
2;596.000;16.000;15.000;7.000;0.593;0.575
3;599.000;15.000;16.000;4.000;0.600;0.585
4;601.000;15.000;16.000;2.000;0.625;0.612
5;597.000;11.000;16.000;3.000;0.537;0.523
6;598.000;9.000;22.000;5.000;0.400;0.381
7;600.000;16.000;15.000;3.000;0.640;0.626
8;601.000;15.000;16.000;2.000;0.625;0.612
9;596.000;15.000;16.000;7.000;0.566;0.548
10;595.000;15.000;12.000;5.000;0.638;0.625
11;602.000;12.000;19.000;1.000;0.545;0.532
12;598.000;15.000;16.000;5.000;0.588;0.572
13;596.000;16.000;15.000;7.000;0.593;0.575
14;599.000;14.000;17.000;4.000;0.571;0.555
15;599.000;13.000;14.000;1.000;0.634;0.623
16;600.000;10.000;21.000;3.000;0.455;0.438
17;599.000;13.000;18.000;4.000;0.542;0.525
18;600.000;14.000;17.000;3.000;0.583;0.568
19;597.000;14.000;17.000;6.000;0.549;0.531
20;593.000;15.000;12.000;7.000;0.612;0.597
21;599.000;14.000;17.000;4.000;0.571;0.555
22;599.000;13.000;18.000;4.000;0.542;0.525
23;598.000;13.000;18.000;5.000;0.531;0.513
24;601.000;17.000;14.000;2.000;0.680;0.668
25;597.000;10.000;17.000;3.000;0.500;0.486
max;602.000;17.000;22.000;7.000;0.680;0.668
avg;598.400;13.840;16.360;4.000;0.574;0.559
min;593.000;9.000;12.000;1.000;0.400;0.381
