LR
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score;average precision score
1;318.000;11.000;0.000;0.000;1.000;1.000;1.000
2;318.000;11.000;0.000;0.000;1.000;1.000;1.000
3;318.000;11.000;0.000;0.000;1.000;1.000;1.000
4;318.000;11.000;0.000;0.000;1.000;1.000;1.000
5;316.000;9.000;0.000;1.000;0.947;0.946;0.900
6;318.000;11.000;0.000;0.000;1.000;1.000;1.000
7;317.000;11.000;0.000;1.000;0.957;0.955;0.917
8;317.000;11.000;0.000;1.000;0.957;0.955;1.000
9;318.000;11.000;0.000;0.000;1.000;1.000;1.000
10;316.000;9.000;0.000;1.000;0.947;0.946;1.000
11;317.000;11.000;0.000;1.000;0.957;0.955;0.917
12;317.000;11.000;0.000;1.000;0.957;0.955;1.000
13;318.000;11.000;0.000;0.000;1.000;1.000;1.000
14;318.000;11.000;0.000;0.000;1.000;1.000;1.000
15;316.000;9.000;0.000;1.000;0.947;0.946;0.900
16;318.000;11.000;0.000;0.000;1.000;1.000;1.000
17;318.000;11.000;0.000;0.000;1.000;1.000;1.000
18;318.000;11.000;0.000;0.000;1.000;1.000;1.000
19;318.000;11.000;0.000;0.000;1.000;1.000;1.000
20;317.000;9.000;0.000;0.000;1.000;1.000;1.000
21;317.000;11.000;0.000;1.000;0.957;0.955;0.917
22;318.000;11.000;0.000;0.000;1.000;1.000;1.000
23;318.000;11.000;0.000;0.000;1.000;1.000;1.000
24;318.000;11.000;0.000;0.000;1.000;1.000;1.000
25;315.000;9.000;0.000;2.000;0.900;0.897;1.000
max;318.000;11.000;0.000;2.000;1.000;1.000;1.000
avg;317.400;10.600;0.000;0.400;0.981;0.980;0.982
min;315.000;9.000;0.000;0.000;0.900;0.897;0.900
---
GB
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;318.000;11.000;0.000;0.000;1.000;1.000
2;318.000;11.000;0.000;0.000;1.000;1.000
3;318.000;11.000;0.000;0.000;1.000;1.000
4;318.000;11.000;0.000;0.000;1.000;1.000
5;317.000;9.000;0.000;0.000;1.000;1.000
6;318.000;11.000;0.000;0.000;1.000;1.000
7;318.000;11.000;0.000;0.000;1.000;1.000
8;316.000;11.000;0.000;2.000;0.917;0.914
9;318.000;11.000;0.000;0.000;1.000;1.000
10;317.000;9.000;0.000;0.000;1.000;1.000
11;318.000;11.000;0.000;0.000;1.000;1.000
12;315.000;11.000;0.000;3.000;0.880;0.875
13;318.000;11.000;0.000;0.000;1.000;1.000
14;318.000;11.000;0.000;0.000;1.000;1.000
15;317.000;9.000;0.000;0.000;1.000;1.000
16;318.000;11.000;0.000;0.000;1.000;1.000
17;318.000;11.000;0.000;0.000;1.000;1.000
18;318.000;11.000;0.000;0.000;1.000;1.000
19;318.000;11.000;0.000;0.000;1.000;1.000
20;317.000;9.000;0.000;0.000;1.000;1.000
21;318.000;11.000;0.000;0.000;1.000;1.000
22;318.000;11.000;0.000;0.000;1.000;1.000
23;318.000;11.000;0.000;0.000;1.000;1.000
24;318.000;11.000;0.000;0.000;1.000;1.000
25;317.000;9.000;0.000;0.000;1.000;1.000
max;318.000;11.000;0.000;3.000;1.000;1.000
avg;317.600;10.600;0.000;0.200;0.992;0.992
min;315.000;9.000;0.000;0.000;0.880;0.875
---
KNN
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;317.000;11.000;0.000;1.000;0.957;0.955
2;318.000;11.000;0.000;0.000;1.000;1.000
3;317.000;11.000;0.000;1.000;0.957;0.955
4;317.000;11.000;0.000;1.000;0.957;0.955
5;317.000;9.000;0.000;0.000;1.000;1.000
6;318.000;11.000;0.000;0.000;1.000;1.000
7;317.000;11.000;0.000;1.000;0.957;0.955
8;316.000;11.000;0.000;2.000;0.917;0.914
9;318.000;11.000;0.000;0.000;1.000;1.000
10;316.000;9.000;0.000;1.000;0.947;0.946
11;317.000;11.000;0.000;1.000;0.957;0.955
12;315.000;11.000;0.000;3.000;0.880;0.875
13;318.000;11.000;0.000;0.000;1.000;1.000
14;318.000;11.000;0.000;0.000;1.000;1.000
15;317.000;9.000;0.000;0.000;1.000;1.000
16;317.000;11.000;0.000;1.000;0.957;0.955
17;317.000;11.000;0.000;1.000;0.957;0.955
18;318.000;11.000;0.000;0.000;1.000;1.000
19;318.000;11.000;0.000;0.000;1.000;1.000
20;316.000;9.000;0.000;1.000;0.947;0.946
21;317.000;11.000;0.000;1.000;0.957;0.955
22;318.000;11.000;0.000;0.000;1.000;1.000
23;318.000;11.000;0.000;0.000;1.000;1.000
24;318.000;11.000;0.000;0.000;1.000;1.000
25;315.000;9.000;0.000;2.000;0.900;0.897
max;318.000;11.000;0.000;3.000;1.000;1.000
avg;317.120;10.600;0.000;0.680;0.970;0.969
min;315.000;9.000;0.000;0.000;0.880;0.875
