LR
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score;average precision score
1;570.000;17.000;0.000;1.000;0.971;0.971;0.997
2;571.000;16.000;1.000;0.000;0.970;0.969;1.000
3;571.000;17.000;0.000;0.000;1.000;1.000;1.000
4;568.000;16.000;1.000;3.000;0.889;0.885;0.964
5;566.000;13.000;0.000;4.000;0.867;0.863;0.867
6;571.000;17.000;0.000;0.000;1.000;1.000;1.000
7;569.000;15.000;2.000;2.000;0.882;0.879;0.982
8;570.000;15.000;2.000;1.000;0.909;0.906;0.979
9;571.000;17.000;0.000;0.000;1.000;1.000;1.000
10;567.000;12.000;1.000;3.000;0.857;0.854;0.979
11;570.000;17.000;0.000;1.000;0.971;0.971;0.993
12;569.000;16.000;1.000;2.000;0.914;0.912;0.983
13;569.000;16.000;1.000;2.000;0.914;0.912;0.994
14;570.000;17.000;0.000;1.000;0.971;0.971;1.000
15;570.000;11.000;2.000;0.000;0.917;0.915;0.984
16;569.000;16.000;1.000;2.000;0.914;0.912;0.987
17;571.000;16.000;1.000;0.000;0.970;0.969;1.000
18;571.000;17.000;0.000;0.000;1.000;1.000;1.000
19;568.000;17.000;0.000;3.000;0.919;0.916;0.936
20;569.000;12.000;1.000;1.000;0.923;0.921;0.982
21;567.000;17.000;0.000;4.000;0.895;0.891;0.965
22;570.000;17.000;0.000;1.000;0.971;0.971;0.990
23;571.000;16.000;1.000;0.000;0.970;0.969;1.000
24;571.000;16.000;1.000;0.000;0.970;0.969;1.000
25;570.000;13.000;0.000;0.000;1.000;1.000;1.000
max;571.000;17.000;2.000;4.000;1.000;1.000;1.000
avg;569.560;15.560;0.640;1.240;0.943;0.941;0.983
min;566.000;11.000;0.000;0.000;0.857;0.854;0.867
---
GB
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;571.000;17.000;0.000;0.000;1.000;1.000
2;571.000;17.000;0.000;0.000;1.000;1.000
3;571.000;17.000;0.000;0.000;1.000;1.000
4;571.000;17.000;0.000;0.000;1.000;1.000
5;570.000;13.000;0.000;0.000;1.000;1.000
6;571.000;17.000;0.000;0.000;1.000;1.000
7;571.000;17.000;0.000;0.000;1.000;1.000
8;571.000;17.000;0.000;0.000;1.000;1.000
9;571.000;17.000;0.000;0.000;1.000;1.000
10;570.000;13.000;0.000;0.000;1.000;1.000
11;571.000;17.000;0.000;0.000;1.000;1.000
12;571.000;17.000;0.000;0.000;1.000;1.000
13;570.000;17.000;0.000;1.000;0.971;0.971
14;571.000;17.000;0.000;0.000;1.000;1.000
15;570.000;13.000;0.000;0.000;1.000;1.000
16;571.000;17.000;0.000;0.000;1.000;1.000
17;571.000;17.000;0.000;0.000;1.000;1.000
18;571.000;17.000;0.000;0.000;1.000;1.000
19;569.000;17.000;0.000;2.000;0.944;0.943
20;570.000;13.000;0.000;0.000;1.000;1.000
21;571.000;17.000;0.000;0.000;1.000;1.000
22;571.000;17.000;0.000;0.000;1.000;1.000
23;571.000;17.000;0.000;0.000;1.000;1.000
24;571.000;17.000;0.000;0.000;1.000;1.000
25;570.000;13.000;0.000;0.000;1.000;1.000
max;571.000;17.000;0.000;2.000;1.000;1.000
avg;570.680;16.200;0.000;0.120;0.997;0.997
min;569.000;13.000;0.000;0.000;0.944;0.943
---
KNN
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;571.000;16.000;1.000;0.000;0.970;0.969
2;571.000;16.000;1.000;0.000;0.970;0.969
3;571.000;16.000;1.000;0.000;0.970;0.969
4;571.000;15.000;2.000;0.000;0.938;0.936
5;568.000;11.000;2.000;2.000;0.846;0.843
6;571.000;15.000;2.000;0.000;0.938;0.936
7;571.000;17.000;0.000;0.000;1.000;1.000
8;571.000;14.000;3.000;0.000;0.903;0.901
9;571.000;14.000;3.000;0.000;0.903;0.901
10;569.000;13.000;0.000;1.000;0.963;0.962
11;571.000;17.000;0.000;0.000;1.000;1.000
12;571.000;14.000;3.000;0.000;0.903;0.901
13;570.000;17.000;0.000;1.000;0.971;0.971
14;571.000;16.000;1.000;0.000;0.970;0.969
15;570.000;10.000;3.000;0.000;0.870;0.867
16;571.000;15.000;2.000;0.000;0.938;0.936
17;571.000;14.000;3.000;0.000;0.903;0.901
18;571.000;17.000;0.000;0.000;1.000;1.000
19;570.000;17.000;0.000;1.000;0.971;0.971
20;570.000;11.000;2.000;0.000;0.917;0.915
21;569.000;15.000;2.000;2.000;0.882;0.879
22;571.000;14.000;3.000;0.000;0.903;0.901
23;571.000;16.000;1.000;0.000;0.970;0.969
24;570.000;16.000;1.000;1.000;0.941;0.939
25;570.000;12.000;1.000;0.000;0.960;0.959
max;571.000;17.000;3.000;2.000;1.000;1.000
avg;570.480;14.720;1.480;0.320;0.940;0.938
min;568.000;10.000;0.000;0.000;0.846;0.843
