LR
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score;average precision score
1;557.000;17.000;4.000;3.000;0.829;0.823;0.793
2;557.000;16.000;5.000;3.000;0.800;0.793;0.916
3;545.000;14.000;7.000;15.000;0.560;0.541;0.678
4;555.000;18.000;3.000;5.000;0.818;0.811;0.888
5;553.000;20.000;1.000;3.000;0.909;0.905;0.988
6;547.000;17.000;4.000;13.000;0.667;0.652;0.809
7;559.000;17.000;4.000;1.000;0.872;0.867;0.920
8;548.000;16.000;5.000;12.000;0.653;0.638;0.808
9;539.000;19.000;2.000;21.000;0.623;0.604;0.851
10;551.000;19.000;2.000;5.000;0.844;0.838;0.927
11;557.000;19.000;2.000;3.000;0.884;0.879;0.935
12;557.000;16.000;5.000;3.000;0.800;0.793;0.898
13;554.000;15.000;6.000;6.000;0.714;0.704;0.854
14;552.000;19.000;2.000;8.000;0.792;0.783;0.911
15;544.000;16.000;5.000;12.000;0.653;0.638;0.786
16;549.000;19.000;2.000;11.000;0.745;0.734;0.864
17;554.000;20.000;1.000;6.000;0.851;0.845;0.975
18;554.000;14.000;7.000;6.000;0.683;0.671;0.806
19;552.000;19.000;2.000;8.000;0.792;0.783;0.887
20;543.000;18.000;3.000;13.000;0.692;0.678;0.823
21;551.000;17.000;4.000;9.000;0.723;0.712;0.887
22;556.000;17.000;4.000;4.000;0.810;0.802;0.880
23;545.000;16.000;5.000;15.000;0.615;0.598;0.702
24;554.000;17.000;4.000;6.000;0.773;0.764;0.854
25;550.000;20.000;1.000;6.000;0.851;0.845;0.936
max;559.000;20.000;7.000;21.000;0.909;0.905;0.988
avg;551.320;17.400;3.600;7.880;0.758;0.748;0.863
min;539.000;14.000;1.000;1.000;0.560;0.541;0.678
---
GB
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;560.000;19.000;2.000;0.000;0.950;0.948
2;560.000;20.000;1.000;0.000;0.976;0.975
3;560.000;20.000;1.000;0.000;0.976;0.975
4;559.000;20.000;1.000;1.000;0.952;0.951
5;556.000;20.000;1.000;0.000;0.976;0.975
6;560.000;21.000;0.000;0.000;1.000;1.000
7;560.000;19.000;2.000;0.000;0.950;0.948
8;560.000;20.000;1.000;0.000;0.976;0.975
9;559.000;19.000;2.000;1.000;0.927;0.924
10;556.000;21.000;0.000;0.000;1.000;1.000
11;560.000;20.000;1.000;0.000;0.976;0.975
12;560.000;20.000;1.000;0.000;0.976;0.975
13;560.000;21.000;0.000;0.000;1.000;1.000
14;560.000;20.000;1.000;0.000;0.976;0.975
15;556.000;21.000;0.000;0.000;1.000;1.000
16;560.000;21.000;0.000;0.000;1.000;1.000
17;560.000;21.000;0.000;0.000;1.000;1.000
18;560.000;19.000;2.000;0.000;0.950;0.948
19;560.000;20.000;1.000;0.000;0.976;0.975
20;556.000;20.000;1.000;0.000;0.976;0.975
21;559.000;20.000;1.000;1.000;0.952;0.951
22;560.000;17.000;4.000;0.000;0.895;0.891
23;560.000;20.000;1.000;0.000;0.976;0.975
24;560.000;20.000;1.000;0.000;0.976;0.975
25;556.000;21.000;0.000;0.000;1.000;1.000
max;560.000;21.000;4.000;1.000;1.000;1.000
avg;559.080;20.000;1.000;0.120;0.972;0.971
min;556.000;17.000;0.000;0.000;0.895;0.891
---
KNN
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;559.000;14.000;7.000;1.000;0.778;0.771
2;559.000;17.000;4.000;1.000;0.872;0.867
3;558.000;18.000;3.000;2.000;0.878;0.874
4;560.000;16.000;5.000;0.000;0.865;0.861
5;556.000;17.000;4.000;0.000;0.895;0.891
6;560.000;18.000;3.000;0.000;0.923;0.920
7;560.000;19.000;2.000;0.000;0.950;0.948
8;559.000;16.000;5.000;1.000;0.842;0.837
9;556.000;15.000;6.000;4.000;0.750;0.741
10;556.000;16.000;5.000;0.000;0.865;0.860
11;558.000;19.000;2.000;2.000;0.905;0.901
12;558.000;15.000;6.000;2.000;0.789;0.782
13;560.000;15.000;6.000;0.000;0.833;0.828
14;560.000;18.000;3.000;0.000;0.923;0.920
15;556.000;18.000;3.000;0.000;0.923;0.920
16;558.000;19.000;2.000;2.000;0.905;0.901
17;560.000;18.000;3.000;0.000;0.923;0.920
18;558.000;13.000;8.000;2.000;0.722;0.714
19;559.000;18.000;3.000;1.000;0.900;0.896
20;556.000;16.000;5.000;0.000;0.865;0.860
21;560.000;17.000;4.000;0.000;0.895;0.891
22;559.000;16.000;5.000;1.000;0.842;0.837
23;558.000;17.000;4.000;2.000;0.850;0.845
24;559.000;16.000;5.000;1.000;0.842;0.837
25;555.000;19.000;2.000;1.000;0.927;0.924
max;560.000;19.000;8.000;4.000;0.950;0.948
avg;558.280;16.800;4.200;0.920;0.866;0.862
min;555.000;13.000;2.000;0.000;0.722;0.714
