LR
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score;average precision score
1;652.000;10.000;0.000;2.000;0.909;0.908;0.901
2;654.000;10.000;0.000;0.000;1.000;1.000;1.000
3;653.000;10.000;0.000;1.000;0.952;0.952;0.892
4;654.000;10.000;0.000;0.000;1.000;1.000;1.000
5;651.000;9.000;0.000;0.000;1.000;1.000;1.000
6;654.000;10.000;0.000;0.000;1.000;1.000;1.000
7;654.000;10.000;0.000;0.000;1.000;1.000;1.000
8;654.000;10.000;0.000;0.000;1.000;1.000;1.000
9;653.000;10.000;0.000;1.000;0.952;0.952;0.909
10;650.000;9.000;0.000;1.000;0.947;0.947;1.000
11;653.000;10.000;0.000;1.000;0.952;0.952;0.909
12;654.000;10.000;0.000;0.000;1.000;1.000;1.000
13;653.000;10.000;0.000;1.000;0.952;0.952;1.000
14;654.000;10.000;0.000;0.000;1.000;1.000;1.000
15;651.000;9.000;0.000;0.000;1.000;1.000;1.000
16;654.000;10.000;0.000;0.000;1.000;1.000;1.000
17;654.000;10.000;0.000;0.000;1.000;1.000;1.000
18;654.000;10.000;0.000;0.000;1.000;1.000;1.000
19;654.000;10.000;0.000;0.000;1.000;1.000;1.000
20;651.000;9.000;0.000;0.000;1.000;1.000;1.000
21;654.000;10.000;0.000;0.000;1.000;1.000;1.000
22;654.000;10.000;0.000;0.000;1.000;1.000;1.000
23;653.000;10.000;0.000;1.000;0.952;0.952;0.882
24;654.000;10.000;0.000;0.000;1.000;1.000;1.000
25;650.000;9.000;0.000;1.000;0.947;0.947;0.890
max;654.000;10.000;0.000;2.000;1.000;1.000;1.000
avg;653.040;9.800;0.000;0.360;0.983;0.982;0.975
min;650.000;9.000;0.000;0.000;0.909;0.908;0.882
---
GB
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;653.000;10.000;0.000;1.000;0.952;0.952
2;654.000;10.000;0.000;0.000;1.000;1.000
3;654.000;10.000;0.000;0.000;1.000;1.000
4;654.000;10.000;0.000;0.000;1.000;1.000
5;651.000;9.000;0.000;0.000;1.000;1.000
6;654.000;10.000;0.000;0.000;1.000;1.000
7;652.000;10.000;0.000;2.000;0.909;0.908
8;653.000;10.000;0.000;1.000;0.952;0.952
9;654.000;10.000;0.000;0.000;1.000;1.000
10;651.000;9.000;0.000;0.000;1.000;1.000
11;654.000;10.000;0.000;0.000;1.000;1.000
12;654.000;10.000;0.000;0.000;1.000;1.000
13;654.000;10.000;0.000;0.000;1.000;1.000
14;654.000;10.000;0.000;0.000;1.000;1.000
15;650.000;9.000;0.000;1.000;0.947;0.947
16;653.000;10.000;0.000;1.000;0.952;0.952
17;654.000;10.000;0.000;0.000;1.000;1.000
18;654.000;10.000;0.000;0.000;1.000;1.000
19;654.000;10.000;0.000;0.000;1.000;1.000
20;651.000;9.000;0.000;0.000;1.000;1.000
21;654.000;10.000;0.000;0.000;1.000;1.000
22;654.000;10.000;0.000;0.000;1.000;1.000
23;654.000;10.000;0.000;0.000;1.000;1.000
24;654.000;10.000;0.000;0.000;1.000;1.000
25;650.000;9.000;0.000;1.000;0.947;0.947
max;654.000;10.000;0.000;2.000;1.000;1.000
avg;653.120;9.800;0.000;0.280;0.986;0.986
min;650.000;9.000;0.000;0.000;0.909;0.908
---
KNN
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;653.000;10.000;0.000;1.000;0.952;0.952
2;653.000;8.000;2.000;1.000;0.842;0.840
3;654.000;9.000;1.000;0.000;0.947;0.947
4;653.000;10.000;0.000;1.000;0.952;0.952
5;651.000;9.000;0.000;0.000;1.000;1.000
6;654.000;8.000;2.000;0.000;0.889;0.887
7;654.000;10.000;0.000;0.000;1.000;1.000
8;652.000;8.000;2.000;2.000;0.800;0.797
9;654.000;10.000;0.000;0.000;1.000;1.000
10;650.000;9.000;0.000;1.000;0.947;0.947
11;654.000;10.000;0.000;0.000;1.000;1.000
12;653.000;9.000;1.000;1.000;0.900;0.898
13;654.000;10.000;0.000;0.000;1.000;1.000
14;653.000;8.000;2.000;1.000;0.842;0.840
15;650.000;8.000;1.000;1.000;0.889;0.887
16;654.000;10.000;0.000;0.000;1.000;1.000
17;653.000;10.000;0.000;1.000;0.952;0.952
18;654.000;9.000;1.000;0.000;0.947;0.947
19;653.000;8.000;2.000;1.000;0.842;0.840
20;650.000;9.000;0.000;1.000;0.947;0.947
21;653.000;10.000;0.000;1.000;0.952;0.952
22;654.000;9.000;1.000;0.000;0.947;0.947
23;652.000;8.000;2.000;2.000;0.800;0.797
24;654.000;10.000;0.000;0.000;1.000;1.000
25;650.000;8.000;1.000;1.000;0.889;0.887
max;654.000;10.000;2.000;2.000;1.000;1.000
avg;652.760;9.080;0.720;0.640;0.930;0.929
min;650.000;8.000;0.000;0.000;0.800;0.797
