LR
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score;average precision score
1;309.000;0.000;11.000;1.000;0.000;-0.006;0.149
2;309.000;0.000;11.000;1.000;0.000;-0.006;0.128
3;310.000;0.000;11.000;0.000;0.000;0.000;0.177
4;308.000;0.000;11.000;2.000;0.000;-0.011;0.081
5;306.000;0.000;9.000;0.000;0.000;0.000;0.220
6;309.000;1.000;10.000;1.000;0.154;0.145;0.130
7;310.000;0.000;11.000;0.000;0.000;0.000;0.152
8;308.000;0.000;11.000;2.000;0.000;-0.011;0.145
9;310.000;1.000;10.000;0.000;0.167;0.162;0.306
10;306.000;0.000;9.000;0.000;0.000;0.000;0.077
11;309.000;0.000;11.000;1.000;0.000;-0.006;0.168
12;310.000;0.000;11.000;0.000;0.000;0.000;0.171
13;308.000;0.000;11.000;2.000;0.000;-0.011;0.080
14;309.000;0.000;11.000;1.000;0.000;-0.006;0.172
15;306.000;0.000;9.000;0.000;0.000;0.000;0.121
16;310.000;0.000;11.000;0.000;0.000;0.000;0.315
17;309.000;0.000;11.000;1.000;0.000;-0.006;0.160
18;310.000;0.000;11.000;0.000;0.000;0.000;0.102
19;307.000;0.000;11.000;3.000;0.000;-0.015;0.166
20;306.000;0.000;9.000;0.000;0.000;0.000;0.047
21;309.000;0.000;11.000;1.000;0.000;-0.006;0.084
22;310.000;0.000;11.000;0.000;0.000;0.000;0.099
23;310.000;0.000;11.000;0.000;0.000;0.000;0.201
24;310.000;0.000;11.000;0.000;0.000;0.000;0.159
25;305.000;0.000;9.000;1.000;0.000;-0.006;0.164
max;310.000;1.000;11.000;3.000;0.167;0.162;0.315
avg;308.520;0.080;10.520;0.680;0.013;0.009;0.151
min;305.000;0.000;9.000;0.000;0.000;-0.015;0.047
---
GB
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;307.000;1.000;10.000;3.000;0.133;0.117
2;308.000;0.000;11.000;2.000;0.000;-0.011
3;306.000;0.000;11.000;4.000;0.000;-0.019
4;307.000;1.000;10.000;3.000;0.133;0.117
5;306.000;1.000;8.000;0.000;0.200;0.195
6;306.000;1.000;10.000;4.000;0.125;0.106
7;307.000;0.000;11.000;3.000;0.000;-0.015
8;308.000;0.000;11.000;2.000;0.000;-0.011
9;310.000;1.000;10.000;0.000;0.167;0.162
10;299.000;1.000;8.000;7.000;0.118;0.093
11;307.000;1.000;10.000;3.000;0.133;0.117
12;310.000;0.000;11.000;0.000;0.000;0.000
13;308.000;0.000;11.000;2.000;0.000;-0.011
14;307.000;0.000;11.000;3.000;0.000;-0.015
15;306.000;0.000;9.000;0.000;0.000;0.000
16;308.000;2.000;9.000;2.000;0.267;0.253
17;308.000;2.000;9.000;2.000;0.267;0.253
18;307.000;0.000;11.000;3.000;0.000;-0.015
19;304.000;0.000;11.000;6.000;0.000;-0.025
20;305.000;0.000;9.000;1.000;0.000;-0.006
21;304.000;0.000;11.000;6.000;0.000;-0.025
22;308.000;1.000;10.000;2.000;0.143;0.130
23;308.000;1.000;10.000;2.000;0.143;0.130
24;310.000;0.000;11.000;0.000;0.000;0.000
25;301.000;0.000;9.000;5.000;0.000;-0.021
max;310.000;2.000;11.000;7.000;0.267;0.253
avg;306.600;0.520;10.080;2.600;0.073;0.060
min;299.000;0.000;8.000;0.000;0.000;-0.025
---
KNN
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;310.000;0.000;11.000;0.000;0.000;0.000
2;310.000;0.000;11.000;0.000;0.000;0.000
3;310.000;0.000;11.000;0.000;0.000;0.000
4;310.000;0.000;11.000;0.000;0.000;0.000
5;306.000;0.000;9.000;0.000;0.000;0.000
6;310.000;0.000;11.000;0.000;0.000;0.000
7;310.000;0.000;11.000;0.000;0.000;0.000
8;310.000;0.000;11.000;0.000;0.000;0.000
9;310.000;0.000;11.000;0.000;0.000;0.000
10;306.000;0.000;9.000;0.000;0.000;0.000
11;310.000;0.000;11.000;0.000;0.000;0.000
12;310.000;0.000;11.000;0.000;0.000;0.000
13;310.000;0.000;11.000;0.000;0.000;0.000
14;310.000;0.000;11.000;0.000;0.000;0.000
15;306.000;0.000;9.000;0.000;0.000;0.000
16;310.000;0.000;11.000;0.000;0.000;0.000
17;310.000;0.000;11.000;0.000;0.000;0.000
18;310.000;0.000;11.000;0.000;0.000;0.000
19;310.000;0.000;11.000;0.000;0.000;0.000
20;306.000;0.000;9.000;0.000;0.000;0.000
21;310.000;0.000;11.000;0.000;0.000;0.000
22;310.000;0.000;11.000;0.000;0.000;0.000
23;310.000;0.000;11.000;0.000;0.000;0.000
24;310.000;0.000;11.000;0.000;0.000;0.000
25;306.000;0.000;9.000;0.000;0.000;0.000
max;310.000;0.000;11.000;0.000;0.000;0.000
avg;309.200;0.000;10.600;0.000;0.000;0.000
min;306.000;0.000;9.000;0.000;0.000;0.000
