LR
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score;average precision score
1;285.000;3.000;8.000;2.000;0.375;0.360;0.428
2;286.000;4.000;7.000;1.000;0.500;0.488;0.656
3;285.000;1.000;10.000;2.000;0.143;0.129;0.390
4;284.000;2.000;9.000;3.000;0.250;0.232;0.213
5;282.000;2.000;5.000;3.000;0.333;0.320;0.273
6;286.000;1.000;10.000;1.000;0.154;0.144;0.286
7;284.000;6.000;5.000;3.000;0.600;0.586;0.473
8;285.000;2.000;9.000;2.000;0.267;0.252;0.402
9;286.000;1.000;10.000;1.000;0.154;0.144;0.374
10;284.000;1.000;6.000;1.000;0.222;0.214;0.505
11;285.000;3.000;8.000;2.000;0.375;0.360;0.408
12;284.000;0.000;11.000;3.000;0.000;-0.016;0.382
13;283.000;1.000;10.000;4.000;0.125;0.104;0.247
14;284.000;4.000;7.000;3.000;0.444;0.428;0.420
15;285.000;2.000;5.000;0.000;0.444;0.438;0.444
16;287.000;3.000;8.000;0.000;0.429;0.419;0.471
17;287.000;0.000;11.000;0.000;0.000;0.000;0.436
18;285.000;1.000;10.000;2.000;0.143;0.129;0.244
19;283.000;3.000;8.000;4.000;0.333;0.314;0.306
20;283.000;3.000;4.000;2.000;0.500;0.490;0.586
21;283.000;2.000;9.000;4.000;0.235;0.215;0.264
22;285.000;4.000;7.000;2.000;0.471;0.456;0.558
23;287.000;1.000;10.000;0.000;0.167;0.162;0.548
24;284.000;4.000;7.000;3.000;0.444;0.428;0.503
25;283.000;1.000;6.000;2.000;0.200;0.188;0.180
max;287.000;6.000;11.000;4.000;0.600;0.586;0.656
avg;284.600;2.200;8.000;2.000;0.292;0.279;0.400
min;282.000;0.000;4.000;0.000;0.000;-0.016;0.180
---
GB
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;284.000;1.000;10.000;3.000;0.133;0.116
2;283.000;6.000;5.000;4.000;0.571;0.556
3;286.000;3.000;8.000;1.000;0.400;0.388
4;280.000;3.000;8.000;7.000;0.286;0.260
5;284.000;2.000;5.000;1.000;0.400;0.391
6;283.000;2.000;9.000;4.000;0.235;0.215
7;283.000;6.000;5.000;4.000;0.571;0.556
8;285.000;3.000;8.000;2.000;0.375;0.360
9;285.000;3.000;8.000;2.000;0.375;0.360
10;283.000;3.000;4.000;2.000;0.500;0.490
11;283.000;2.000;9.000;4.000;0.235;0.215
12;284.000;4.000;7.000;3.000;0.444;0.428
13;282.000;2.000;9.000;5.000;0.222;0.199
14;283.000;4.000;7.000;4.000;0.421;0.402
15;283.000;3.000;4.000;2.000;0.500;0.490
16;285.000;3.000;8.000;2.000;0.375;0.360
17;285.000;4.000;7.000;2.000;0.471;0.456
18;282.000;2.000;9.000;5.000;0.222;0.199
19;284.000;2.000;9.000;3.000;0.250;0.232
20;282.000;2.000;5.000;3.000;0.333;0.320
21;283.000;1.000;10.000;4.000;0.125;0.104
22;286.000;3.000;8.000;1.000;0.400;0.388
23;287.000;2.000;9.000;0.000;0.308;0.300
24;281.000;2.000;9.000;6.000;0.211;0.185
25;281.000;3.000;4.000;4.000;0.429;0.415
max;287.000;6.000;10.000;7.000;0.571;0.556
avg;283.480;2.840;7.360;3.120;0.352;0.335
min;280.000;1.000;4.000;0.000;0.125;0.104
---
KNN
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;287.000;1.000;10.000;0.000;0.167;0.162
2;287.000;0.000;11.000;0.000;0.000;0.000
3;287.000;0.000;11.000;0.000;0.000;0.000
4;286.000;0.000;11.000;1.000;0.000;-0.006
5;284.000;0.000;7.000;1.000;0.000;-0.006
6;287.000;0.000;11.000;0.000;0.000;0.000
7;286.000;2.000;9.000;1.000;0.286;0.274
8;286.000;0.000;11.000;1.000;0.000;-0.006
9;287.000;0.000;11.000;0.000;0.000;0.000
10;285.000;0.000;7.000;0.000;0.000;0.000
11;286.000;0.000;11.000;1.000;0.000;-0.006
12;287.000;0.000;11.000;0.000;0.000;0.000
13;287.000;0.000;11.000;0.000;0.000;0.000
14;287.000;1.000;10.000;0.000;0.167;0.162
15;285.000;2.000;5.000;0.000;0.444;0.438
16;287.000;1.000;10.000;0.000;0.167;0.162
17;286.000;0.000;11.000;1.000;0.000;-0.006
18;287.000;0.000;11.000;0.000;0.000;0.000
19;286.000;1.000;10.000;1.000;0.154;0.144
20;285.000;2.000;5.000;0.000;0.444;0.438
21;287.000;0.000;11.000;0.000;0.000;0.000
22;287.000;2.000;9.000;0.000;0.308;0.300
23;287.000;1.000;10.000;0.000;0.167;0.162
24;287.000;0.000;11.000;0.000;0.000;0.000
25;285.000;0.000;7.000;0.000;0.000;0.000
max;287.000;2.000;11.000;1.000;0.444;0.438
avg;286.320;0.520;9.680;0.280;0.092;0.088
min;284.000;0.000;5.000;0.000;0.000;-0.006
