LR
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score;average precision score
1;288.000;4.000;5.000;0.000;0.615;0.608;0.888
2;282.000;5.000;4.000;6.000;0.500;0.483;0.723
3;284.000;4.000;5.000;4.000;0.471;0.455;0.627
4;288.000;3.000;6.000;0.000;0.500;0.492;0.698
5;282.000;6.000;2.000;6.000;0.600;0.587;0.680
6;285.000;7.000;2.000;3.000;0.737;0.728;0.707
7;281.000;2.000;7.000;7.000;0.222;0.198;0.426
8;286.000;3.000;6.000;2.000;0.429;0.416;0.762
9;285.000;7.000;2.000;3.000;0.737;0.728;0.900
10;286.000;4.000;4.000;2.000;0.571;0.561;0.640
11;285.000;5.000;4.000;3.000;0.588;0.576;0.677
12;283.000;6.000;3.000;5.000;0.600;0.586;0.650
13;286.000;5.000;4.000;2.000;0.625;0.615;0.816
14;286.000;3.000;6.000;2.000;0.429;0.416;0.738
15;283.000;3.000;5.000;5.000;0.375;0.358;0.483
16;284.000;6.000;3.000;4.000;0.632;0.619;0.738
17;284.000;4.000;5.000;4.000;0.471;0.455;0.615
18;282.000;5.000;4.000;6.000;0.500;0.483;0.703
19;286.000;3.000;6.000;2.000;0.429;0.416;0.692
20;284.000;5.000;3.000;4.000;0.588;0.576;0.607
21;283.000;7.000;2.000;5.000;0.667;0.655;0.724
22;288.000;3.000;6.000;0.000;0.500;0.492;0.769
23;284.000;7.000;2.000;4.000;0.700;0.690;0.787
24;286.000;3.000;6.000;2.000;0.429;0.416;0.649
25;284.000;3.000;5.000;4.000;0.400;0.384;0.511
max;288.000;7.000;7.000;7.000;0.737;0.728;0.900
avg;284.600;4.520;4.280;3.400;0.533;0.520;0.688
min;281.000;2.000;2.000;0.000;0.222;0.198;0.426
---
GB
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;287.000;3.000;6.000;1.000;0.462;0.451
2;283.000;9.000;0.000;5.000;0.783;0.774
3;287.000;6.000;3.000;1.000;0.750;0.743
4;288.000;5.000;4.000;0.000;0.714;0.708
5;285.000;6.000;2.000;3.000;0.706;0.697
6;286.000;7.000;2.000;2.000;0.778;0.771
7;284.000;4.000;5.000;4.000;0.471;0.455
8;286.000;7.000;2.000;2.000;0.778;0.771
9;287.000;7.000;2.000;1.000;0.824;0.818
10;286.000;2.000;6.000;2.000;0.333;0.321
11;287.000;5.000;4.000;1.000;0.667;0.658
12;286.000;5.000;4.000;2.000;0.625;0.615
13;288.000;6.000;3.000;0.000;0.800;0.795
14;288.000;4.000;5.000;0.000;0.615;0.608
15;284.000;5.000;3.000;4.000;0.588;0.576
16;286.000;6.000;3.000;2.000;0.706;0.697
17;287.000;7.000;2.000;1.000;0.824;0.818
18;284.000;6.000;3.000;4.000;0.632;0.619
19;288.000;5.000;4.000;0.000;0.714;0.708
20;288.000;5.000;3.000;0.000;0.769;0.764
21;286.000;8.000;1.000;2.000;0.842;0.837
22;288.000;6.000;3.000;0.000;0.800;0.795
23;288.000;7.000;2.000;0.000;0.875;0.872
24;287.000;5.000;4.000;1.000;0.667;0.658
25;284.000;5.000;3.000;4.000;0.588;0.576
max;288.000;9.000;6.000;5.000;0.875;0.872
avg;286.320;5.640;3.160;1.680;0.692;0.684
min;283.000;2.000;0.000;0.000;0.333;0.321
---
KNN
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;288.000;5.000;4.000;0.000;0.714;0.708
2;286.000;6.000;3.000;2.000;0.706;0.697
3;285.000;6.000;3.000;3.000;0.667;0.656
4;288.000;1.000;8.000;0.000;0.200;0.195
5;286.000;5.000;3.000;2.000;0.667;0.658
6;287.000;6.000;3.000;1.000;0.750;0.743
7;284.000;2.000;7.000;4.000;0.267;0.248
8;288.000;5.000;4.000;0.000;0.714;0.708
9;286.000;6.000;3.000;2.000;0.706;0.697
10;288.000;3.000;5.000;0.000;0.545;0.539
11;287.000;4.000;5.000;1.000;0.571;0.562
12;287.000;3.000;6.000;1.000;0.462;0.451
13;288.000;2.000;7.000;0.000;0.364;0.357
14;288.000;5.000;4.000;0.000;0.714;0.708
15;285.000;5.000;3.000;3.000;0.625;0.615
16;285.000;4.000;5.000;3.000;0.500;0.486
17;287.000;3.000;6.000;1.000;0.462;0.451
18;283.000;6.000;3.000;5.000;0.600;0.586
19;288.000;3.000;6.000;0.000;0.500;0.492
20;288.000;4.000;4.000;0.000;0.667;0.661
21;288.000;7.000;2.000;0.000;0.875;0.872
22;288.000;4.000;5.000;0.000;0.615;0.608
23;287.000;4.000;5.000;1.000;0.571;0.562
24;287.000;3.000;6.000;1.000;0.462;0.451
25;286.000;4.000;4.000;2.000;0.571;0.561
max;288.000;7.000;8.000;5.000;0.875;0.872
avg;286.720;4.240;4.560;1.280;0.580;0.571
min;283.000;1.000;2.000;0.000;0.200;0.195
