LR
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score;average precision score
1;289.000;3.000;4.000;1.000;0.545;0.538;0.635
2;285.000;2.000;5.000;5.000;0.286;0.268;0.431
3;289.000;1.000;6.000;1.000;0.222;0.214;0.433
4;289.000;2.000;5.000;1.000;0.400;0.391;0.618
5;287.000;4.000;3.000;2.000;0.615;0.607;0.662
6;289.000;4.000;3.000;1.000;0.667;0.660;0.677
7;288.000;0.000;7.000;2.000;0.000;-0.011;0.135
8;289.000;2.000;5.000;1.000;0.400;0.391;0.511
9;288.000;3.000;4.000;2.000;0.500;0.490;0.560
10;288.000;2.000;5.000;1.000;0.400;0.391;0.507
11;289.000;3.000;4.000;1.000;0.545;0.538;0.646
12;287.000;5.000;2.000;3.000;0.667;0.658;0.667
13;288.000;2.000;5.000;2.000;0.364;0.353;0.451
14;285.000;4.000;3.000;5.000;0.500;0.486;0.452
15;289.000;0.000;7.000;0.000;0.000;0.000;0.358
16;290.000;2.000;5.000;0.000;0.444;0.439;0.767
17;286.000;1.000;6.000;4.000;0.167;0.150;0.263
18;284.000;1.000;6.000;6.000;0.143;0.122;0.241
19;290.000;3.000;4.000;0.000;0.600;0.594;0.670
20;289.000;2.000;5.000;0.000;0.444;0.439;0.587
21;288.000;4.000;3.000;2.000;0.615;0.607;0.501
22;289.000;1.000;6.000;1.000;0.222;0.214;0.236
23;290.000;3.000;4.000;0.000;0.600;0.594;0.740
24;288.000;2.000;5.000;2.000;0.364;0.353;0.536
25;285.000;3.000;4.000;4.000;0.429;0.415;0.442
max;290.000;5.000;7.000;6.000;0.667;0.660;0.767
avg;287.920;2.360;4.640;1.880;0.406;0.396;0.509
min;284.000;0.000;2.000;0.000;0.000;-0.011;0.135
---
GB
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;287.000;3.000;4.000;3.000;0.462;0.450
2;287.000;2.000;5.000;3.000;0.333;0.320
3;289.000;2.000;5.000;1.000;0.400;0.391
4;287.000;2.000;5.000;3.000;0.333;0.320
5;288.000;4.000;3.000;1.000;0.667;0.660
6;285.000;4.000;3.000;5.000;0.500;0.486
7;288.000;1.000;6.000;2.000;0.200;0.189
8;285.000;2.000;5.000;5.000;0.286;0.268
9;285.000;2.000;5.000;5.000;0.286;0.268
10;287.000;2.000;5.000;2.000;0.364;0.353
11;289.000;3.000;4.000;1.000;0.545;0.538
12;288.000;3.000;4.000;2.000;0.500;0.490
13;289.000;1.000;6.000;1.000;0.222;0.214
14;282.000;4.000;3.000;8.000;0.421;0.403
15;288.000;0.000;7.000;1.000;0.000;-0.006
16;289.000;4.000;3.000;1.000;0.667;0.660
17;286.000;1.000;6.000;4.000;0.167;0.150
18;287.000;3.000;4.000;3.000;0.462;0.450
19;290.000;3.000;4.000;0.000;0.600;0.594
20;288.000;3.000;4.000;1.000;0.545;0.537
21;286.000;3.000;4.000;4.000;0.429;0.415
22;288.000;1.000;6.000;2.000;0.200;0.189
23;288.000;6.000;1.000;2.000;0.800;0.795
24;288.000;1.000;6.000;2.000;0.200;0.189
25;287.000;2.000;5.000;2.000;0.364;0.353
max;290.000;6.000;7.000;8.000;0.800;0.795
avg;287.240;2.480;4.520;2.560;0.398;0.387
min;282.000;0.000;1.000;0.000;0.000;-0.006
---
KNN
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;290.000;2.000;5.000;0.000;0.444;0.439
2;287.000;3.000;4.000;3.000;0.462;0.450
3;288.000;1.000;6.000;2.000;0.200;0.189
4;290.000;2.000;5.000;0.000;0.444;0.439
5;289.000;6.000;1.000;0.000;0.923;0.921
6;288.000;3.000;4.000;2.000;0.500;0.490
7;290.000;2.000;5.000;0.000;0.444;0.439
8;290.000;3.000;4.000;0.000;0.600;0.594
9;288.000;2.000;5.000;2.000;0.364;0.353
10;289.000;3.000;4.000;0.000;0.600;0.594
11;289.000;4.000;3.000;1.000;0.667;0.660
12;290.000;3.000;4.000;0.000;0.600;0.594
13;290.000;3.000;4.000;0.000;0.600;0.594
14;285.000;4.000;3.000;5.000;0.500;0.486
15;289.000;1.000;6.000;0.000;0.250;0.246
16;288.000;3.000;4.000;2.000;0.500;0.490
17;287.000;2.000;5.000;3.000;0.333;0.320
18;289.000;4.000;3.000;1.000;0.667;0.660
19;290.000;3.000;4.000;0.000;0.600;0.594
20;289.000;2.000;5.000;0.000;0.444;0.439
21;287.000;4.000;3.000;3.000;0.571;0.561
22;290.000;1.000;6.000;0.000;0.250;0.246
23;289.000;3.000;4.000;1.000;0.545;0.538
24;290.000;2.000;5.000;0.000;0.444;0.439
25;289.000;3.000;4.000;0.000;0.600;0.594
max;290.000;6.000;6.000;5.000;0.923;0.921
avg;288.800;2.760;4.240;1.000;0.502;0.495
min;285.000;1.000;1.000;0.000;0.200;0.189
