LR
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score;average precision score
1;124.000;9.000;0.000;14.000;0.562;0.520;0.892
2;129.000;6.000;3.000;9.000;0.500;0.459;0.575
3;126.000;9.000;0.000;12.000;0.600;0.562;0.826
4;126.000;7.000;2.000;12.000;0.500;0.455;0.542
5;129.000;4.000;2.000;8.000;0.444;0.412;0.489
6;119.000;8.000;1.000;19.000;0.444;0.388;0.624
7;131.000;8.000;1.000;7.000;0.667;0.639;0.782
8;130.000;7.000;2.000;8.000;0.583;0.549;0.728
9;125.000;9.000;0.000;13.000;0.581;0.541;0.720
10;122.000;5.000;1.000;15.000;0.385;0.342;0.571
11;129.000;6.000;3.000;9.000;0.500;0.459;0.609
12;132.000;9.000;0.000;6.000;0.750;0.729;0.897
13;130.000;5.000;4.000;8.000;0.455;0.412;0.648
14;117.000;7.000;2.000;21.000;0.378;0.315;0.656
15;127.000;4.000;2.000;10.000;0.400;0.363;0.530
16;129.000;6.000;3.000;9.000;0.500;0.459;0.567
17;124.000;7.000;2.000;14.000;0.467;0.417;0.706
18;128.000;8.000;1.000;10.000;0.593;0.556;0.673
19;123.000;9.000;0.000;15.000;0.545;0.501;0.967
20;131.000;5.000;1.000;6.000;0.588;0.565;0.517
21;123.000;7.000;2.000;15.000;0.452;0.399;0.692
22;126.000;8.000;1.000;12.000;0.552;0.510;0.707
23;124.000;6.000;3.000;14.000;0.414;0.360;0.447
24;127.000;8.000;1.000;11.000;0.571;0.533;0.849
25;130.000;6.000;0.000;7.000;0.632;0.609;0.850
max;132.000;9.000;4.000;21.000;0.750;0.729;0.967
avg;126.440;6.920;1.480;11.360;0.523;0.482;0.683
min;117.000;4.000;0.000;6.000;0.378;0.315;0.447
---
GB
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;132.000;4.000;5.000;6.000;0.421;0.381
2;133.000;3.000;6.000;5.000;0.353;0.313
3;131.000;3.000;6.000;7.000;0.316;0.269
4;135.000;4.000;5.000;3.000;0.500;0.472
5;132.000;2.000;4.000;5.000;0.308;0.275
6;136.000;4.000;5.000;2.000;0.533;0.509
7;134.000;4.000;5.000;4.000;0.471;0.438
8;130.000;4.000;5.000;8.000;0.381;0.334
9;134.000;4.000;5.000;4.000;0.471;0.438
10;128.000;3.000;3.000;9.000;0.333;0.294
11;132.000;2.000;7.000;6.000;0.235;0.189
12;134.000;7.000;2.000;4.000;0.700;0.678
13;132.000;2.000;7.000;6.000;0.235;0.189
14;129.000;3.000;6.000;9.000;0.286;0.232
15;129.000;2.000;4.000;8.000;0.250;0.208
16;135.000;3.000;6.000;3.000;0.400;0.369
17;132.000;5.000;4.000;6.000;0.500;0.464
18;136.000;4.000;5.000;2.000;0.533;0.509
19;132.000;4.000;5.000;6.000;0.421;0.381
20;131.000;2.000;4.000;6.000;0.286;0.250
21;132.000;1.000;8.000;6.000;0.125;0.075
22;132.000;3.000;6.000;6.000;0.333;0.290
23;135.000;4.000;5.000;3.000;0.500;0.472
24;132.000;5.000;4.000;6.000;0.500;0.464
25;135.000;3.000;3.000;2.000;0.545;0.527
max;136.000;7.000;8.000;9.000;0.700;0.678
avg;132.520;3.400;5.000;5.280;0.397;0.361
min;128.000;1.000;2.000;2.000;0.125;0.075
---
KNN
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;127.000;5.000;4.000;11.000;0.400;0.349
2;114.000;6.000;3.000;24.000;0.308;0.236
3;129.000;5.000;4.000;9.000;0.435;0.389
4;124.000;6.000;3.000;14.000;0.414;0.360
5;126.000;4.000;2.000;11.000;0.381;0.341
6;123.000;4.000;5.000;15.000;0.286;0.221
7;131.000;6.000;3.000;7.000;0.545;0.510
8;122.000;7.000;2.000;16.000;0.438;0.383
9;120.000;6.000;3.000;18.000;0.364;0.301
10;122.000;3.000;3.000;15.000;0.250;0.200
11;127.000;4.000;5.000;11.000;0.333;0.278
12;115.000;8.000;1.000;23.000;0.400;0.337
13;126.000;4.000;5.000;12.000;0.320;0.262
14;117.000;5.000;4.000;21.000;0.286;0.214
15;118.000;4.000;2.000;19.000;0.276;0.224
16;121.000;3.000;6.000;17.000;0.207;0.134
17;121.000;7.000;2.000;17.000;0.424;0.368
18;121.000;6.000;3.000;17.000;0.375;0.315
19;119.000;7.000;2.000;19.000;0.400;0.340
20;124.000;5.000;1.000;13.000;0.417;0.377
21;119.000;4.000;5.000;19.000;0.250;0.178
22;118.000;5.000;4.000;20.000;0.294;0.224
23;121.000;3.000;6.000;17.000;0.207;0.134
24;124.000;5.000;4.000;14.000;0.357;0.299
25;126.000;4.000;2.000;11.000;0.381;0.341
max;131.000;8.000;6.000;24.000;0.545;0.510
avg;122.200;5.040;3.360;15.600;0.350;0.293
min;114.000;3.000;1.000;7.000;0.207;0.134
