LR
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score;average precision score
1;414.000;11.000;1.000;42.000;0.338;0.310;0.467
2;410.000;10.000;2.000;46.000;0.294;0.263;0.628
3;421.000;9.000;3.000;35.000;0.321;0.293;0.371
4;404.000;11.000;1.000;52.000;0.293;0.262;0.568
5;417.000;8.000;2.000;39.000;0.281;0.254;0.310
6;413.000;11.000;1.000;43.000;0.333;0.304;0.634
7;392.000;12.000;0.000;64.000;0.273;0.239;0.586
8;412.000;9.000;3.000;44.000;0.277;0.245;0.270
9;425.000;9.000;3.000;31.000;0.346;0.319;0.527
10;417.000;6.000;4.000;39.000;0.218;0.190;0.419
11;411.000;9.000;3.000;45.000;0.273;0.241;0.526
12;415.000;8.000;4.000;41.000;0.262;0.231;0.338
13;423.000;11.000;1.000;33.000;0.393;0.367;0.603
14;411.000;9.000;3.000;45.000;0.273;0.241;0.329
15;409.000;10.000;0.000;47.000;0.299;0.272;0.624
16;407.000;11.000;1.000;49.000;0.306;0.275;0.612
17;405.000;11.000;1.000;51.000;0.297;0.266;0.610
18;413.000;10.000;2.000;43.000;0.308;0.277;0.431
19;426.000;8.000;4.000;30.000;0.320;0.292;0.469
20;420.000;7.000;3.000;36.000;0.264;0.238;0.364
21;400.000;10.000;2.000;56.000;0.256;0.223;0.392
22;421.000;9.000;3.000;35.000;0.321;0.293;0.363
23;417.000;10.000;2.000;39.000;0.328;0.299;0.389
24;407.000;11.000;1.000;49.000;0.306;0.275;0.709
25;410.000;9.000;1.000;46.000;0.277;0.250;0.378
max;426.000;12.000;4.000;64.000;0.393;0.367;0.709
avg;412.800;9.560;2.040;43.200;0.298;0.269;0.477
min;392.000;6.000;0.000;30.000;0.218;0.190;0.270
---
GB
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;437.000;6.000;6.000;19.000;0.324;0.300
2;442.000;5.000;7.000;14.000;0.323;0.301
3;448.000;4.000;8.000;8.000;0.333;0.316
4;441.000;6.000;6.000;15.000;0.364;0.342
5;444.000;3.000;7.000;12.000;0.240;0.220
6;443.000;3.000;9.000;13.000;0.214;0.191
7;442.000;8.000;4.000;14.000;0.471;0.452
8;440.000;2.000;10.000;16.000;0.133;0.106
9;448.000;3.000;9.000;8.000;0.261;0.242
10;440.000;4.000;6.000;16.000;0.267;0.245
11;445.000;4.000;8.000;11.000;0.296;0.276
12;442.000;4.000;8.000;14.000;0.267;0.243
13;447.000;8.000;4.000;9.000;0.552;0.538
14;442.000;4.000;8.000;14.000;0.267;0.243
15;441.000;5.000;5.000;15.000;0.333;0.314
16;444.000;7.000;5.000;12.000;0.452;0.434
17;440.000;5.000;7.000;16.000;0.303;0.280
18;447.000;4.000;8.000;9.000;0.320;0.301
19;446.000;1.000;11.000;10.000;0.087;0.064
20;447.000;5.000;5.000;9.000;0.417;0.402
21;447.000;3.000;9.000;9.000;0.250;0.230
22;447.000;2.000;10.000;9.000;0.174;0.153
23;445.000;5.000;7.000;11.000;0.357;0.338
24;446.000;7.000;5.000;10.000;0.483;0.467
25;440.000;6.000;4.000;16.000;0.375;0.356
max;448.000;8.000;11.000;19.000;0.552;0.538
avg;443.640;4.560;7.040;12.360;0.314;0.294
min;437.000;1.000;4.000;8.000;0.087;0.064
---
KNN
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;423.000;8.000;4.000;33.000;0.302;0.273
2;410.000;12.000;0.000;46.000;0.343;0.314
3;428.000;9.000;3.000;28.000;0.367;0.342
4;416.000;8.000;4.000;40.000;0.267;0.235
5;425.000;4.000;6.000;31.000;0.178;0.149
6;419.000;9.000;3.000;37.000;0.310;0.281
7;408.000;11.000;1.000;48.000;0.310;0.279
8;413.000;8.000;4.000;43.000;0.254;0.222
9;424.000;8.000;4.000;32.000;0.308;0.279
10;420.000;8.000;2.000;36.000;0.296;0.271
11;418.000;10.000;2.000;38.000;0.333;0.305
12;415.000;9.000;3.000;41.000;0.290;0.260
13;423.000;8.000;4.000;33.000;0.302;0.273
14;422.000;7.000;5.000;34.000;0.264;0.234
15;416.000;8.000;2.000;40.000;0.276;0.249
16;412.000;9.000;3.000;44.000;0.277;0.245
17;418.000;10.000;2.000;38.000;0.333;0.305
18;419.000;6.000;6.000;37.000;0.218;0.186
19;431.000;4.000;8.000;25.000;0.195;0.165
20;427.000;6.000;4.000;29.000;0.267;0.241
21;422.000;6.000;6.000;34.000;0.231;0.199
22;423.000;9.000;3.000;33.000;0.333;0.306
23;416.000;9.000;3.000;40.000;0.295;0.265
24;427.000;9.000;3.000;29.000;0.360;0.334
25;411.000;7.000;3.000;45.000;0.226;0.197
max;431.000;12.000;8.000;48.000;0.367;0.342
avg;419.440;8.080;3.520;36.560;0.285;0.256
min;408.000;4.000;0.000;25.000;0.178;0.149
