LR
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score;average precision score
1;291.000;13.000;0.000;42.000;0.382;0.342;0.363
2;294.000;10.000;3.000;39.000;0.323;0.280;0.305
3;282.000;13.000;0.000;51.000;0.338;0.294;0.404
4;292.000;13.000;0.000;41.000;0.388;0.349;0.366
5;297.000;11.000;2.000;34.000;0.379;0.341;0.449
6;296.000;13.000;0.000;37.000;0.413;0.375;0.287
7;273.000;13.000;0.000;60.000;0.302;0.255;0.360
8;293.000;11.000;2.000;40.000;0.344;0.302;0.335
9;298.000;13.000;0.000;35.000;0.426;0.390;0.283
10;291.000;13.000;0.000;40.000;0.394;0.355;0.546
11;295.000;12.000;1.000;38.000;0.381;0.342;0.295
12;298.000;13.000;0.000;35.000;0.426;0.390;0.446
13;278.000;13.000;0.000;55.000;0.321;0.275;0.341
14;294.000;13.000;0.000;39.000;0.400;0.362;0.383
15;293.000;11.000;2.000;38.000;0.355;0.314;0.336
16;298.000;13.000;0.000;35.000;0.426;0.390;0.408
17;289.000;12.000;1.000;44.000;0.348;0.305;0.508
18;286.000;13.000;0.000;47.000;0.356;0.314;0.313
19;294.000;12.000;1.000;39.000;0.375;0.335;0.301
20;298.000;12.000;1.000;33.000;0.414;0.377;0.328
21;270.000;13.000;0.000;63.000;0.292;0.244;0.342
22;298.000;12.000;1.000;35.000;0.400;0.362;0.361
23;306.000;12.000;1.000;27.000;0.462;0.429;0.336
24;288.000;13.000;0.000;45.000;0.366;0.325;0.295
25;289.000;13.000;0.000;42.000;0.382;0.342;0.556
max;306.000;13.000;3.000;63.000;0.462;0.429;0.556
avg;291.240;12.400;0.600;41.360;0.376;0.336;0.370
min;270.000;10.000;0.000;27.000;0.292;0.244;0.283
---
GB
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;333.000;13.000;0.000;0.000;1.000;1.000
2;332.000;12.000;1.000;1.000;0.923;0.920
3;332.000;12.000;1.000;1.000;0.923;0.920
4;333.000;13.000;0.000;0.000;1.000;1.000
5;326.000;12.000;1.000;5.000;0.800;0.791
6;332.000;13.000;0.000;1.000;0.963;0.961
7;327.000;13.000;0.000;6.000;0.813;0.804
8;331.000;13.000;0.000;2.000;0.929;0.926
9;333.000;12.000;1.000;0.000;0.960;0.959
10;331.000;13.000;0.000;0.000;1.000;1.000
11;332.000;10.000;3.000;1.000;0.833;0.827
12;333.000;13.000;0.000;0.000;1.000;1.000
13;332.000;12.000;1.000;1.000;0.923;0.920
14;333.000;13.000;0.000;0.000;1.000;1.000
15;331.000;12.000;1.000;0.000;0.960;0.958
16;333.000;13.000;0.000;0.000;1.000;1.000
17;333.000;12.000;1.000;0.000;0.960;0.959
18;329.000;13.000;0.000;4.000;0.867;0.861
19;332.000;13.000;0.000;1.000;0.963;0.961
20;331.000;13.000;0.000;0.000;1.000;1.000
21;332.000;11.000;2.000;1.000;0.880;0.876
22;333.000;13.000;0.000;0.000;1.000;1.000
23;333.000;13.000;0.000;0.000;1.000;1.000
24;332.000;12.000;1.000;1.000;0.923;0.920
25;330.000;13.000;0.000;1.000;0.963;0.961
max;333.000;13.000;3.000;6.000;1.000;1.000
avg;331.560;12.480;0.520;1.040;0.943;0.941
min;326.000;10.000;0.000;0.000;0.800;0.791
---
KNN
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;328.000;13.000;0.000;5.000;0.839;0.831
2;321.000;12.000;1.000;12.000;0.649;0.631
3;315.000;13.000;0.000;18.000;0.591;0.568
4;325.000;13.000;0.000;8.000;0.765;0.753
5;317.000;13.000;0.000;14.000;0.650;0.631
6;318.000;13.000;0.000;15.000;0.634;0.614
7;306.000;13.000;0.000;27.000;0.491;0.460
8;312.000;13.000;0.000;21.000;0.553;0.528
9;325.000;11.000;2.000;8.000;0.688;0.673
10;328.000;13.000;0.000;3.000;0.897;0.892
11;321.000;11.000;2.000;12.000;0.611;0.591
12;328.000;13.000;0.000;5.000;0.839;0.831
13;312.000;13.000;0.000;21.000;0.553;0.528
14;323.000;13.000;0.000;10.000;0.722;0.708
15;322.000;13.000;0.000;9.000;0.743;0.730
16;323.000;12.000;1.000;10.000;0.686;0.670
17;316.000;13.000;0.000;17.000;0.605;0.583
18;323.000;13.000;0.000;10.000;0.722;0.708
19;317.000;13.000;0.000;16.000;0.619;0.598
20;318.000;13.000;0.000;13.000;0.667;0.649
21;320.000;13.000;0.000;13.000;0.667;0.649
22;320.000;13.000;0.000;13.000;0.667;0.649
23;328.000;12.000;1.000;5.000;0.800;0.791
24;320.000;13.000;0.000;13.000;0.667;0.649
25;318.000;13.000;0.000;13.000;0.667;0.649
max;328.000;13.000;2.000;27.000;0.897;0.892
avg;320.160;12.720;0.280;12.440;0.680;0.663
min;306.000;11.000;0.000;3.000;0.491;0.460
