LR
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score;average precision score
1;177.000;8.000;6.000;155.000;0.090;0.017;0.059
2;175.000;11.000;3.000;157.000;0.121;0.050;0.070
3;172.000;8.000;6.000;160.000;0.088;0.014;0.056
4;176.000;11.000;3.000;156.000;0.122;0.051;0.075
5;179.000;10.000;3.000;152.000;0.114;0.048;0.057
6;165.000;10.000;4.000;167.000;0.105;0.032;0.067
7;169.000;11.000;3.000;163.000;0.117;0.046;0.069
8;189.000;11.000;3.000;143.000;0.131;0.061;0.070
9;189.000;7.000;7.000;143.000;0.085;0.012;0.050
10;189.000;8.000;5.000;142.000;0.098;0.031;0.073
11;170.000;11.000;3.000;162.000;0.118;0.046;0.077
12;189.000;10.000;4.000;143.000;0.120;0.049;0.066
13;182.000;9.000;5.000;150.000;0.104;0.032;0.056
14;180.000;11.000;3.000;152.000;0.124;0.054;0.075
15;168.000;8.000;5.000;163.000;0.087;0.018;0.051
16;169.000;11.000;3.000;163.000;0.117;0.046;0.063
17;178.000;8.000;6.000;154.000;0.091;0.018;0.063
18;172.000;10.000;4.000;160.000;0.109;0.037;0.066
19;191.000;8.000;6.000;141.000;0.098;0.026;0.054
20;185.000;12.000;1.000;146.000;0.140;0.076;0.079
21;190.000;6.000;8.000;142.000;0.074;0.000;0.051
22;192.000;10.000;4.000;140.000;0.122;0.052;0.069
23;169.000;12.000;2.000;163.000;0.127;0.056;0.069
24;162.000;11.000;3.000;170.000;0.113;0.041;0.071
25;179.000;9.000;4.000;152.000;0.103;0.036;0.061
max;192.000;12.000;8.000;170.000;0.140;0.076;0.079
avg;178.240;9.640;4.160;153.560;0.109;0.038;0.065
min;162.000;6.000;1.000;140.000;0.074;0.000;0.050
---
GB
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;329.000;7.000;7.000;3.000;0.583;0.569
2;331.000;8.000;6.000;1.000;0.696;0.686
3;331.000;8.000;6.000;1.000;0.696;0.686
4;330.000;8.000;6.000;2.000;0.667;0.655
5;330.000;11.000;2.000;1.000;0.880;0.875
6;330.000;8.000;6.000;2.000;0.667;0.655
7;330.000;13.000;1.000;2.000;0.897;0.892
8;332.000;7.000;7.000;0.000;0.667;0.657
9;330.000;10.000;4.000;2.000;0.769;0.760
10;328.000;10.000;3.000;3.000;0.769;0.760
11;331.000;10.000;4.000;1.000;0.800;0.793
12;330.000;14.000;0.000;2.000;0.933;0.930
13;329.000;6.000;8.000;3.000;0.522;0.506
14;330.000;10.000;4.000;2.000;0.769;0.760
15;329.000;10.000;3.000;2.000;0.800;0.792
16;330.000;10.000;4.000;2.000;0.769;0.760
17;330.000;7.000;7.000;2.000;0.609;0.596
18;332.000;9.000;5.000;0.000;0.783;0.775
19;330.000;8.000;6.000;2.000;0.667;0.655
20;329.000;6.000;7.000;2.000;0.571;0.559
21;331.000;7.000;7.000;1.000;0.636;0.625
22;330.000;7.000;7.000;2.000;0.609;0.596
23;329.000;9.000;5.000;3.000;0.692;0.680
24;331.000;6.000;8.000;1.000;0.571;0.560
25;331.000;9.000;4.000;0.000;0.818;0.812
max;332.000;14.000;8.000;3.000;0.933;0.930
avg;330.120;8.720;5.080;1.680;0.714;0.704
min;328.000;6.000;0.000;0.000;0.522;0.506
---
KNN
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;305.000;14.000;0.000;27.000;0.509;0.478
2;306.000;14.000;0.000;26.000;0.519;0.488
3;321.000;13.000;1.000;11.000;0.684;0.667
4;315.000;12.000;2.000;17.000;0.558;0.533
5;320.000;12.000;1.000;11.000;0.667;0.650
6;327.000;13.000;1.000;5.000;0.813;0.804
7;315.000;12.000;2.000;17.000;0.558;0.533
8;316.000;13.000;1.000;16.000;0.605;0.582
9;296.000;12.000;2.000;36.000;0.387;0.346
10;304.000;13.000;0.000;27.000;0.491;0.460
11;316.000;13.000;1.000;16.000;0.605;0.582
12;319.000;13.000;1.000;13.000;0.650;0.631
13;314.000;13.000;1.000;18.000;0.578;0.553
14;302.000;14.000;0.000;30.000;0.483;0.449
15;298.000;13.000;0.000;33.000;0.441;0.406
16;327.000;14.000;0.000;5.000;0.848;0.841
17;311.000;10.000;4.000;21.000;0.444;0.412
18;303.000;13.000;1.000;29.000;0.464;0.430
19;302.000;14.000;0.000;30.000;0.483;0.449
20;317.000;12.000;1.000;14.000;0.615;0.595
21;314.000;11.000;3.000;18.000;0.512;0.483
22;324.000;12.000;2.000;8.000;0.706;0.691
23;311.000;13.000;1.000;21.000;0.542;0.514
24;316.000;14.000;0.000;16.000;0.636;0.615
25;305.000;13.000;0.000;26.000;0.500;0.470
max;327.000;14.000;4.000;36.000;0.848;0.841
avg;312.160;12.800;1.000;19.640;0.572;0.546
min;296.000;10.000;0.000;5.000;0.387;0.346
