LR
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score;average precision score
1;174.000;3.000;6.000;31.000;0.140;0.078;0.088
2;155.000;9.000;0.000;50.000;0.265;0.207;0.406
3;176.000;5.000;4.000;29.000;0.233;0.178;0.275
4;181.000;9.000;0.000;24.000;0.429;0.388;0.680
5;170.000;5.000;2.000;33.000;0.222;0.176;0.205
6;168.000;7.000;2.000;37.000;0.264;0.209;0.410
7;169.000;6.000;3.000;36.000;0.235;0.178;0.365
8;175.000;6.000;3.000;30.000;0.267;0.214;0.265
9;184.000;5.000;4.000;21.000;0.286;0.238;0.308
10;173.000;7.000;0.000;30.000;0.318;0.278;0.371
11;185.000;7.000;2.000;20.000;0.389;0.348;0.734
12;164.000;7.000;2.000;41.000;0.246;0.188;0.223
13;169.000;7.000;2.000;36.000;0.269;0.215;0.447
14;179.000;5.000;4.000;26.000;0.250;0.198;0.327
15;159.000;6.000;1.000;44.000;0.211;0.161;0.239
16;174.000;8.000;1.000;31.000;0.333;0.284;0.205
17;178.000;7.000;2.000;27.000;0.326;0.278;0.534
18;169.000;5.000;4.000;36.000;0.200;0.141;0.228
19;170.000;9.000;0.000;35.000;0.340;0.290;0.359
20;170.000;6.000;1.000;33.000;0.261;0.217;0.549
21;180.000;5.000;4.000;25.000;0.256;0.205;0.205
22;173.000;7.000;2.000;32.000;0.292;0.240;0.485
23;178.000;9.000;0.000;27.000;0.400;0.357;0.433
24;178.000;5.000;4.000;27.000;0.244;0.191;0.205
25;163.000;5.000;2.000;40.000;0.192;0.143;0.343
max;185.000;9.000;6.000;50.000;0.429;0.388;0.734
avg;172.560;6.400;2.200;32.040;0.275;0.224;0.356
min;155.000;3.000;0.000;20.000;0.140;0.078;0.088
---
GB
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;198.000;1.000;8.000;7.000;0.118;0.081
2;203.000;1.000;8.000;2.000;0.167;0.149
3;203.000;2.000;7.000;2.000;0.308;0.289
4;204.000;2.000;7.000;1.000;0.333;0.319
5;200.000;1.000;6.000;3.000;0.182;0.161
6;203.000;1.000;8.000;2.000;0.167;0.149
7;203.000;0.000;9.000;2.000;0.000;-0.016
8;203.000;1.000;8.000;2.000;0.167;0.149
9;204.000;1.000;8.000;1.000;0.182;0.169
10;201.000;1.000;6.000;2.000;0.200;0.184
11;205.000;1.000;8.000;0.000;0.200;0.193
12;194.000;4.000;5.000;11.000;0.333;0.296
13;204.000;0.000;9.000;1.000;0.000;-0.008
14;205.000;0.000;9.000;0.000;0.000;0.000
15;197.000;1.000;6.000;6.000;0.143;0.113
16;202.000;0.000;9.000;3.000;0.000;-0.021
17;205.000;0.000;9.000;0.000;0.000;0.000
18;203.000;1.000;8.000;2.000;0.167;0.149
19;202.000;2.000;7.000;3.000;0.286;0.264
20;202.000;1.000;6.000;1.000;0.222;0.211
21;202.000;1.000;8.000;3.000;0.154;0.131
22;205.000;0.000;9.000;0.000;0.000;0.000
23;205.000;2.000;7.000;0.000;0.364;0.354
24;203.000;0.000;9.000;2.000;0.000;-0.016
25;202.000;2.000;5.000;1.000;0.400;0.388
max;205.000;4.000;9.000;11.000;0.400;0.388
avg;202.320;1.040;7.560;2.280;0.164;0.148
min;194.000;0.000;5.000;0.000;0.000;-0.021
---
KNN
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;179.000;5.000;4.000;26.000;0.250;0.198
2;171.000;6.000;3.000;34.000;0.245;0.189
3;177.000;5.000;4.000;28.000;0.238;0.184
4;183.000;6.000;3.000;22.000;0.324;0.278
5;173.000;5.000;2.000;30.000;0.238;0.193
6;177.000;7.000;2.000;28.000;0.318;0.269
7;174.000;7.000;2.000;31.000;0.298;0.247
8;181.000;5.000;4.000;24.000;0.263;0.213
9;179.000;6.000;3.000;26.000;0.293;0.243
10;172.000;6.000;1.000;31.000;0.273;0.230
11;193.000;6.000;3.000;12.000;0.444;0.411
12;166.000;5.000;4.000;39.000;0.189;0.128
13;177.000;7.000;2.000;28.000;0.318;0.269
14;176.000;6.000;3.000;29.000;0.273;0.221
15;179.000;3.000;4.000;24.000;0.176;0.130
16;173.000;5.000;4.000;32.000;0.217;0.161
17;180.000;5.000;4.000;25.000;0.256;0.205
18;178.000;5.000;4.000;27.000;0.244;0.191
19;177.000;7.000;2.000;28.000;0.318;0.269
20;168.000;4.000;3.000;35.000;0.174;0.124
21;179.000;6.000;3.000;26.000;0.293;0.243
22;176.000;6.000;3.000;29.000;0.273;0.221
23;173.000;6.000;3.000;32.000;0.255;0.201
24;188.000;5.000;4.000;17.000;0.323;0.280
25;172.000;4.000;3.000;31.000;0.190;0.143
max;193.000;7.000;4.000;39.000;0.444;0.411
avg;176.840;5.520;3.080;27.760;0.267;0.218
min;166.000;3.000;1.000;12.000;0.174;0.124
