LR
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score;average precision score
1;521.000;27.000;4.000;82.000;0.386;0.335;0.466
2;507.000;29.000;2.000;96.000;0.372;0.318;0.459
3;513.000;25.000;6.000;90.000;0.342;0.288;0.330
4;503.000;27.000;4.000;100.000;0.342;0.286;0.405
5;528.000;25.000;2.000;72.000;0.403;0.360;0.550
6;529.000;25.000;6.000;74.000;0.385;0.335;0.488
7;531.000;25.000;6.000;72.000;0.391;0.342;0.411
8;506.000;29.000;2.000;97.000;0.369;0.316;0.571
9;510.000;25.000;6.000;93.000;0.336;0.280;0.279
10;495.000;26.000;1.000;105.000;0.329;0.278;0.426
11;513.000;25.000;6.000;90.000;0.342;0.288;0.488
12;534.000;20.000;11.000;69.000;0.333;0.281;0.295
13;511.000;30.000;1.000;92.000;0.392;0.341;0.513
14;506.000;29.000;2.000;97.000;0.369;0.316;0.484
15;512.000;23.000;4.000;88.000;0.333;0.284;0.311
16;524.000;27.000;4.000;79.000;0.394;0.345;0.357
17;528.000;25.000;6.000;75.000;0.382;0.332;0.440
18;517.000;28.000;3.000;86.000;0.386;0.335;0.584
19;496.000;29.000;2.000;107.000;0.347;0.291;0.441
20;520.000;21.000;6.000;80.000;0.328;0.279;0.400
21;520.000;27.000;4.000;83.000;0.383;0.332;0.440
22;518.000;26.000;5.000;85.000;0.366;0.314;0.465
23;504.000;29.000;2.000;99.000;0.365;0.310;0.501
24;511.000;27.000;4.000;92.000;0.360;0.306;0.579
25;524.000;24.000;3.000;76.000;0.378;0.333;0.318
max;534.000;30.000;11.000;107.000;0.403;0.360;0.584
avg;515.240;26.120;4.080;87.160;0.365;0.313;0.440
min;495.000;20.000;1.000;69.000;0.328;0.278;0.279
---
GB
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;593.000;27.000;4.000;10.000;0.794;0.783
2;583.000;29.000;2.000;20.000;0.725;0.707
3;591.000;27.000;4.000;12.000;0.771;0.758
4;597.000;25.000;6.000;6.000;0.806;0.797
5;594.000;23.000;4.000;6.000;0.821;0.813
6;589.000;25.000;6.000;14.000;0.714;0.698
7;593.000;28.000;3.000;10.000;0.812;0.801
8;594.000;28.000;3.000;9.000;0.824;0.814
9;591.000;26.000;5.000;12.000;0.754;0.740
10;591.000;25.000;2.000;9.000;0.820;0.811
11;600.000;24.000;7.000;3.000;0.828;0.819
12;590.000;28.000;3.000;13.000;0.778;0.765
13;588.000;28.000;3.000;15.000;0.757;0.742
14;592.000;26.000;5.000;11.000;0.765;0.751
15;593.000;26.000;1.000;7.000;0.867;0.860
16;593.000;27.000;4.000;10.000;0.794;0.783
17;595.000;27.000;4.000;8.000;0.818;0.808
18;596.000;25.000;6.000;7.000;0.794;0.783
19;594.000;29.000;2.000;9.000;0.841;0.832
20;589.000;22.000;5.000;11.000;0.733;0.720
21;591.000;26.000;5.000;12.000;0.754;0.740
22;592.000;30.000;1.000;11.000;0.833;0.824
23;593.000;25.000;6.000;10.000;0.758;0.744
24;594.000;29.000;2.000;9.000;0.841;0.832
25;590.000;23.000;4.000;10.000;0.767;0.755
max;600.000;30.000;7.000;20.000;0.867;0.860
avg;592.240;26.320;3.880;10.160;0.791;0.779
min;583.000;22.000;1.000;3.000;0.714;0.698
---
KNN
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;577.000;26.000;5.000;26.000;0.627;0.602
2;566.000;27.000;4.000;37.000;0.568;0.538
3;572.000;25.000;6.000;31.000;0.575;0.546
4;578.000;20.000;11.000;25.000;0.526;0.497
5;562.000;22.000;5.000;38.000;0.506;0.475
6;581.000;26.000;5.000;22.000;0.658;0.637
7;577.000;25.000;6.000;26.000;0.610;0.584
8;570.000;25.000;6.000;33.000;0.562;0.532
9;572.000;24.000;7.000;31.000;0.558;0.529
10;571.000;23.000;4.000;29.000;0.582;0.557
11;580.000;21.000;10.000;23.000;0.560;0.533
12;569.000;26.000;5.000;34.000;0.571;0.542
13;571.000;23.000;8.000;32.000;0.535;0.504
14;570.000;23.000;8.000;33.000;0.529;0.497
15;578.000;23.000;4.000;22.000;0.639;0.618
16;573.000;24.000;7.000;30.000;0.565;0.536
17;578.000;25.000;6.000;25.000;0.617;0.593
18;582.000;26.000;5.000;21.000;0.667;0.646
19;573.000;23.000;8.000;30.000;0.548;0.518
20;557.000;21.000;6.000;43.000;0.462;0.427
21;577.000;25.000;6.000;26.000;0.610;0.584
22;571.000;22.000;9.000;32.000;0.518;0.486
23;578.000;23.000;8.000;25.000;0.582;0.556
24;569.000;26.000;5.000;34.000;0.571;0.542
25;568.000;22.000;5.000;32.000;0.543;0.515
max;582.000;27.000;11.000;43.000;0.667;0.646
avg;572.800;23.840;6.360;29.600;0.572;0.544
min;557.000;20.000;4.000;21.000;0.462;0.427
