LR
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score;average precision score
1;570.000;17.000;0.000;1.000;0.971;0.971;0.997
2;570.000;16.000;1.000;1.000;0.941;0.939;0.994
3;569.000;17.000;0.000;2.000;0.944;0.943;0.994
4;570.000;17.000;0.000;1.000;0.971;0.971;0.997
5;565.000;12.000;1.000;5.000;0.800;0.795;0.847
6;569.000;17.000;0.000;2.000;0.944;0.943;1.000
7;570.000;17.000;0.000;1.000;0.971;0.971;1.000
8;569.000;15.000;2.000;2.000;0.882;0.879;0.927
9;569.000;17.000;0.000;2.000;0.944;0.943;0.997
10;570.000;13.000;0.000;0.000;1.000;1.000;1.000
11;570.000;17.000;0.000;1.000;0.971;0.971;0.997
12;569.000;16.000;1.000;2.000;0.914;0.912;0.994
13;571.000;17.000;0.000;0.000;1.000;1.000;1.000
14;570.000;17.000;0.000;1.000;0.971;0.971;1.000
15;568.000;13.000;0.000;2.000;0.929;0.927;0.995
16;571.000;17.000;0.000;0.000;1.000;1.000;1.000
17;571.000;17.000;0.000;0.000;1.000;1.000;1.000
18;570.000;17.000;0.000;1.000;0.971;0.971;1.000
19;568.000;17.000;0.000;3.000;0.919;0.916;0.887
20;569.000;12.000;1.000;1.000;0.923;0.921;0.990
21;566.000;17.000;0.000;5.000;0.872;0.867;1.000
22;567.000;17.000;0.000;4.000;0.895;0.891;0.986
23;571.000;16.000;1.000;0.000;0.970;0.969;1.000
24;570.000;16.000;1.000;1.000;0.941;0.939;0.993
25;570.000;13.000;0.000;0.000;1.000;1.000;1.000
max;571.000;17.000;2.000;5.000;1.000;1.000;1.000
avg;569.280;15.880;0.320;1.520;0.946;0.944;0.984
min;565.000;12.000;0.000;0.000;0.800;0.795;0.847
---
GB
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;571.000;17.000;0.000;0.000;1.000;1.000
2;571.000;17.000;0.000;0.000;1.000;1.000
3;571.000;17.000;0.000;0.000;1.000;1.000
4;571.000;17.000;0.000;0.000;1.000;1.000
5;568.000;13.000;0.000;2.000;0.929;0.927
6;571.000;17.000;0.000;0.000;1.000;1.000
7;571.000;17.000;0.000;0.000;1.000;1.000
8;571.000;15.000;2.000;0.000;0.938;0.936
9;571.000;17.000;0.000;0.000;1.000;1.000
10;570.000;13.000;0.000;0.000;1.000;1.000
11;571.000;17.000;0.000;0.000;1.000;1.000
12;571.000;17.000;0.000;0.000;1.000;1.000
13;571.000;17.000;0.000;0.000;1.000;1.000
14;571.000;17.000;0.000;0.000;1.000;1.000
15;570.000;13.000;0.000;0.000;1.000;1.000
16;571.000;17.000;0.000;0.000;1.000;1.000
17;571.000;17.000;0.000;0.000;1.000;1.000
18;571.000;17.000;0.000;0.000;1.000;1.000
19;569.000;17.000;0.000;2.000;0.944;0.943
20;570.000;13.000;0.000;0.000;1.000;1.000
21;571.000;17.000;0.000;0.000;1.000;1.000
22;571.000;17.000;0.000;0.000;1.000;1.000
23;571.000;17.000;0.000;0.000;1.000;1.000
24;571.000;17.000;0.000;0.000;1.000;1.000
25;570.000;13.000;0.000;0.000;1.000;1.000
max;571.000;17.000;2.000;2.000;1.000;1.000
avg;570.640;16.120;0.080;0.160;0.992;0.992
min;568.000;13.000;0.000;0.000;0.929;0.927
---
KNN
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;567.000;17.000;0.000;4.000;0.895;0.891
2;568.000;17.000;0.000;3.000;0.919;0.916
3;568.000;17.000;0.000;3.000;0.919;0.916
4;563.000;17.000;0.000;8.000;0.810;0.803
5;567.000;13.000;0.000;3.000;0.897;0.894
6;569.000;17.000;0.000;2.000;0.944;0.943
7;568.000;17.000;0.000;3.000;0.919;0.916
8;565.000;17.000;0.000;6.000;0.850;0.845
9;566.000;16.000;1.000;5.000;0.842;0.837
10;563.000;13.000;0.000;7.000;0.788;0.782
11;568.000;17.000;0.000;3.000;0.919;0.916
12;566.000;17.000;0.000;5.000;0.872;0.867
13;567.000;17.000;0.000;4.000;0.895;0.891
14;568.000;17.000;0.000;3.000;0.919;0.916
15;568.000;13.000;0.000;2.000;0.929;0.927
16;564.000;17.000;0.000;7.000;0.829;0.823
17;569.000;16.000;1.000;2.000;0.914;0.912
18;566.000;17.000;0.000;5.000;0.872;0.867
19;568.000;17.000;0.000;3.000;0.919;0.916
20;566.000;13.000;0.000;4.000;0.867;0.863
21;565.000;17.000;0.000;6.000;0.850;0.845
22;571.000;17.000;0.000;0.000;1.000;1.000
23;565.000;17.000;0.000;6.000;0.850;0.845
24;566.000;17.000;0.000;5.000;0.872;0.867
25;568.000;13.000;0.000;2.000;0.929;0.927
max;571.000;17.000;1.000;8.000;1.000;1.000
avg;566.760;16.120;0.080;4.040;0.889;0.885
min;563.000;13.000;0.000;0.000;0.788;0.782
