LR
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score;average precision score
1;548.000;19.000;2.000;12.000;0.731;0.719;0.872
2;548.000;21.000;0.000;12.000;0.778;0.768;0.934
3;537.000;21.000;0.000;23.000;0.646;0.628;0.818
4;543.000;20.000;1.000;17.000;0.690;0.675;0.882
5;536.000;21.000;0.000;20.000;0.677;0.661;0.964
6;546.000;20.000;1.000;14.000;0.727;0.715;0.926
7;553.000;19.000;2.000;7.000;0.809;0.801;0.924
8;543.000;21.000;0.000;17.000;0.712;0.698;0.902
9;537.000;21.000;0.000;23.000;0.646;0.628;0.868
10;544.000;20.000;1.000;12.000;0.755;0.743;0.941
11;546.000;21.000;0.000;14.000;0.750;0.738;0.935
12;555.000;20.000;1.000;5.000;0.870;0.864;0.889
13;542.000;20.000;1.000;18.000;0.678;0.662;0.886
14;540.000;21.000;0.000;20.000;0.677;0.661;0.920
15;533.000;21.000;0.000;23.000;0.646;0.628;0.905
16;544.000;20.000;1.000;16.000;0.702;0.687;0.915
17;537.000;21.000;0.000;23.000;0.646;0.628;0.940
18;547.000;17.000;4.000;13.000;0.667;0.652;0.797
19;539.000;21.000;0.000;21.000;0.667;0.650;0.894
20;546.000;20.000;1.000;10.000;0.784;0.775;0.924
21;540.000;21.000;0.000;20.000;0.677;0.661;0.954
22;547.000;20.000;1.000;13.000;0.741;0.729;0.909
23;550.000;20.000;1.000;10.000;0.784;0.775;0.887
24;539.000;20.000;1.000;21.000;0.645;0.627;0.875
25;541.000;20.000;1.000;15.000;0.714;0.701;0.908
max;555.000;21.000;4.000;23.000;0.870;0.864;0.964
avg;543.240;20.240;0.760;15.960;0.713;0.699;0.903
min;533.000;17.000;0.000;5.000;0.645;0.627;0.797
---
GB
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;559.000;20.000;1.000;1.000;0.952;0.951
2;560.000;20.000;1.000;0.000;0.976;0.975
3;560.000;20.000;1.000;0.000;0.976;0.975
4;555.000;21.000;0.000;5.000;0.894;0.889
5;556.000;20.000;1.000;0.000;0.976;0.975
6;559.000;21.000;0.000;1.000;0.977;0.976
7;559.000;20.000;1.000;1.000;0.952;0.951
8;560.000;20.000;1.000;0.000;0.976;0.975
9;558.000;20.000;1.000;2.000;0.930;0.928
10;556.000;19.000;2.000;0.000;0.950;0.948
11;559.000;20.000;1.000;1.000;0.952;0.951
12;560.000;20.000;1.000;0.000;0.976;0.975
13;560.000;20.000;1.000;0.000;0.976;0.975
14;560.000;21.000;0.000;0.000;1.000;1.000
15;555.000;21.000;0.000;1.000;0.977;0.976
16;558.000;21.000;0.000;2.000;0.955;0.953
17;560.000;21.000;0.000;0.000;1.000;1.000
18;560.000;17.000;4.000;0.000;0.895;0.891
19;559.000;20.000;1.000;1.000;0.952;0.951
20;556.000;19.000;2.000;0.000;0.950;0.948
21;559.000;20.000;1.000;1.000;0.952;0.951
22;560.000;16.000;5.000;0.000;0.865;0.861
23;560.000;21.000;0.000;0.000;1.000;1.000
24;559.000;20.000;1.000;1.000;0.952;0.951
25;556.000;21.000;0.000;0.000;1.000;1.000
max;560.000;21.000;5.000;5.000;1.000;1.000
avg;558.520;19.960;1.040;0.680;0.958;0.957
min;555.000;16.000;0.000;0.000;0.865;0.861
---
KNN
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;551.000;20.000;1.000;9.000;0.800;0.791
2;558.000;21.000;0.000;2.000;0.955;0.953
3;552.000;20.000;1.000;8.000;0.816;0.808
4;552.000;21.000;0.000;8.000;0.840;0.833
5;550.000;21.000;0.000;6.000;0.875;0.870
6;550.000;21.000;0.000;10.000;0.808;0.799
7;555.000;21.000;0.000;5.000;0.894;0.889
8;558.000;20.000;1.000;2.000;0.930;0.928
9;550.000;20.000;1.000;10.000;0.784;0.775
10;551.000;21.000;0.000;5.000;0.894;0.889
11;552.000;21.000;0.000;8.000;0.840;0.833
12;556.000;21.000;0.000;4.000;0.913;0.909
13;551.000;20.000;1.000;9.000;0.800;0.791
14;557.000;21.000;0.000;3.000;0.933;0.931
15;548.000;21.000;0.000;8.000;0.840;0.833
16;552.000;21.000;0.000;8.000;0.840;0.833
17;553.000;21.000;0.000;7.000;0.857;0.851
18;553.000;21.000;0.000;7.000;0.857;0.851
19;554.000;20.000;1.000;6.000;0.851;0.845
20;551.000;20.000;1.000;5.000;0.870;0.864
21;555.000;21.000;0.000;5.000;0.894;0.889
22;554.000;20.000;1.000;6.000;0.851;0.845
23;552.000;21.000;0.000;8.000;0.840;0.833
24;551.000;21.000;0.000;9.000;0.824;0.816
25;547.000;21.000;0.000;9.000;0.824;0.816
max;558.000;21.000;1.000;10.000;0.955;0.953
avg;552.520;20.680;0.320;6.680;0.857;0.851
min;547.000;20.000;0.000;2.000;0.784;0.775
