LR
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score;average precision score
1;200.000;6.000;5.000;110.000;0.094;0.034;0.094
2;223.000;8.000;3.000;87.000;0.151;0.095;0.110
3;179.000;10.000;1.000;131.000;0.132;0.073;0.234
4;233.000;5.000;6.000;77.000;0.108;0.050;0.129
5;235.000;5.000;4.000;71.000;0.118;0.070;0.212
6;207.000;9.000;2.000;103.000;0.146;0.090;0.136
7;209.000;8.000;3.000;101.000;0.133;0.076;0.128
8;230.000;7.000;4.000;80.000;0.143;0.087;0.120
9;215.000;6.000;5.000;95.000;0.107;0.048;0.299
10;226.000;6.000;3.000;80.000;0.126;0.079;0.136
11;230.000;7.000;4.000;80.000;0.143;0.087;0.152
12;204.000;8.000;3.000;106.000;0.128;0.070;0.254
13;238.000;6.000;5.000;72.000;0.135;0.080;0.070
14;201.000;9.000;2.000;109.000;0.140;0.082;0.182
15;226.000;7.000;2.000;80.000;0.146;0.099;0.151
16;224.000;8.000;3.000;86.000;0.152;0.097;0.378
17;212.000;8.000;3.000;98.000;0.137;0.080;0.201
18;224.000;6.000;5.000;86.000;0.117;0.059;0.104
19;216.000;10.000;1.000;94.000;0.174;0.119;0.141
20;209.000;4.000;5.000;97.000;0.073;0.021;0.058
21;244.000;6.000;5.000;66.000;0.145;0.091;0.104
22;230.000;5.000;6.000;80.000;0.104;0.046;0.097
23;203.000;10.000;1.000;107.000;0.156;0.100;0.229
24;235.000;6.000;5.000;75.000;0.130;0.075;0.192
25;242.000;6.000;3.000;64.000;0.152;0.107;0.160
max;244.000;10.000;6.000;131.000;0.174;0.119;0.378
avg;219.800;7.040;3.560;89.400;0.132;0.077;0.163
min;179.000;4.000;1.000;64.000;0.073;0.021;0.058
---
GB
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;296.000;2.000;9.000;14.000;0.148;0.112
2;289.000;5.000;6.000;21.000;0.270;0.233
3;290.000;5.000;6.000;20.000;0.278;0.242
4;287.000;1.000;10.000;23.000;0.057;0.011
5;294.000;0.000;9.000;12.000;0.000;-0.034
6;289.000;4.000;7.000;21.000;0.222;0.183
7;294.000;2.000;9.000;16.000;0.138;0.100
8;292.000;2.000;9.000;18.000;0.129;0.089
9;296.000;2.000;9.000;14.000;0.148;0.112
10;291.000;2.000;7.000;15.000;0.154;0.121
11;299.000;1.000;10.000;11.000;0.087;0.053
12;291.000;3.000;8.000;19.000;0.182;0.143
13;286.000;3.000;8.000;24.000;0.158;0.115
14;285.000;3.000;8.000;25.000;0.154;0.110
15;293.000;3.000;6.000;13.000;0.240;0.211
16;301.000;1.000;10.000;9.000;0.095;0.065
17;285.000;3.000;8.000;25.000;0.154;0.110
18;294.000;2.000;9.000;16.000;0.138;0.100
19;293.000;5.000;6.000;17.000;0.303;0.270
20;275.000;1.000;8.000;31.000;0.049;0.004
21;295.000;1.000;10.000;15.000;0.074;0.035
22;289.000;1.000;10.000;21.000;0.061;0.016
23;282.000;4.000;7.000;28.000;0.186;0.142
24;301.000;2.000;9.000;9.000;0.182;0.153
25;288.000;2.000;7.000;18.000;0.138;0.103
max;301.000;5.000;10.000;31.000;0.303;0.270
avg;291.000;2.400;8.200;18.200;0.150;0.112
min;275.000;0.000;6.000;9.000;0.000;-0.034
---
KNN
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;237.000;4.000;7.000;73.000;0.091;0.033
2;229.000;5.000;6.000;81.000;0.103;0.045
3;211.000;4.000;7.000;99.000;0.070;0.009
4;235.000;5.000;6.000;75.000;0.110;0.053
5;232.000;4.000;5.000;74.000;0.092;0.043
6;214.000;3.000;8.000;96.000;0.055;-0.008
7;229.000;2.000;9.000;81.000;0.043;-0.019
8;241.000;2.000;9.000;69.000;0.049;-0.011
9;229.000;5.000;6.000;81.000;0.103;0.045
10;225.000;3.000;6.000;81.000;0.065;0.014
11;222.000;2.000;9.000;88.000;0.040;-0.023
12;230.000;2.000;9.000;80.000;0.043;-0.019
13;230.000;6.000;5.000;80.000;0.124;0.067
14;230.000;7.000;4.000;80.000;0.143;0.087
15;221.000;4.000;5.000;85.000;0.082;0.031
16;234.000;2.000;9.000;76.000;0.045;-0.016
17;233.000;3.000;8.000;77.000;0.066;0.006
18;226.000;3.000;8.000;84.000;0.061;0.000
19;227.000;4.000;7.000;83.000;0.082;0.022
20;230.000;2.000;7.000;76.000;0.046;-0.006
21;234.000;4.000;7.000;76.000;0.088;0.029
22;216.000;5.000;6.000;94.000;0.091;0.031
23;251.000;5.000;6.000;59.000;0.133;0.079
24;238.000;5.000;6.000;72.000;0.114;0.057
25;234.000;1.000;8.000;72.000;0.024;-0.028
max;251.000;7.000;9.000;99.000;0.143;0.087
avg;229.520;3.680;6.920;79.680;0.078;0.021
min;211.000;1.000;4.000;59.000;0.024;-0.028
