LR
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score;average precision score
1;265.000;7.000;0.000;25.000;0.359;0.333;0.654
2;264.000;5.000;2.000;26.000;0.263;0.234;0.427
3;257.000;6.000;1.000;33.000;0.261;0.230;0.270
4;269.000;5.000;2.000;21.000;0.303;0.276;0.554
5;242.000;7.000;0.000;47.000;0.230;0.196;0.599
6;258.000;7.000;0.000;32.000;0.304;0.275;0.667
7;253.000;7.000;0.000;37.000;0.275;0.244;0.227
8;260.000;6.000;1.000;30.000;0.279;0.249;0.550
9;254.000;5.000;2.000;36.000;0.208;0.175;0.530
10;268.000;6.000;1.000;21.000;0.353;0.328;0.555
11;263.000;6.000;1.000;27.000;0.300;0.272;0.659
12;247.000;7.000;0.000;43.000;0.246;0.213;0.802
13;267.000;5.000;2.000;23.000;0.286;0.258;0.397
14;261.000;6.000;1.000;29.000;0.286;0.257;0.423
15;268.000;6.000;1.000;21.000;0.353;0.328;0.420
16;271.000;6.000;1.000;19.000;0.375;0.351;0.676
17;258.000;7.000;0.000;32.000;0.304;0.275;0.222
18;247.000;6.000;1.000;43.000;0.214;0.180;0.550
19;262.000;6.000;1.000;28.000;0.293;0.264;0.635
20;268.000;5.000;2.000;21.000;0.303;0.276;0.677
21;251.000;7.000;0.000;39.000;0.264;0.233;0.514
22;268.000;4.000;3.000;22.000;0.242;0.213;0.216
23;259.000;7.000;0.000;31.000;0.311;0.283;0.754
24;256.000;6.000;1.000;34.000;0.255;0.224;0.295
25;270.000;5.000;2.000;19.000;0.323;0.297;0.372
max;271.000;7.000;3.000;47.000;0.375;0.351;0.802
avg;260.240;6.000;1.000;29.560;0.288;0.259;0.506
min;242.000;4.000;0.000;19.000;0.208;0.175;0.216
---
GB
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;287.000;3.000;4.000;3.000;0.462;0.450
2;286.000;4.000;3.000;4.000;0.533;0.521
3;290.000;2.000;5.000;0.000;0.444;0.439
4;287.000;3.000;4.000;3.000;0.462;0.450
5;289.000;4.000;3.000;0.000;0.727;0.722
6;287.000;3.000;4.000;3.000;0.462;0.450
7;288.000;3.000;4.000;2.000;0.500;0.490
8;288.000;3.000;4.000;2.000;0.500;0.490
9;287.000;2.000;5.000;3.000;0.333;0.320
10;288.000;1.000;6.000;1.000;0.222;0.214
11;288.000;4.000;3.000;2.000;0.615;0.607
12;290.000;3.000;4.000;0.000;0.600;0.594
13;288.000;2.000;5.000;2.000;0.364;0.353
14;285.000;4.000;3.000;5.000;0.500;0.486
15;288.000;0.000;7.000;1.000;0.000;-0.006
16;289.000;5.000;2.000;1.000;0.769;0.764
17;286.000;2.000;5.000;4.000;0.308;0.292
18;287.000;4.000;3.000;3.000;0.571;0.561
19;288.000;3.000;4.000;2.000;0.500;0.490
20;288.000;3.000;4.000;1.000;0.545;0.537
21;287.000;4.000;3.000;3.000;0.571;0.561
22;288.000;3.000;4.000;2.000;0.500;0.490
23;289.000;6.000;1.000;1.000;0.857;0.854
24;289.000;1.000;6.000;1.000;0.222;0.214
25;288.000;2.000;5.000;1.000;0.400;0.391
max;290.000;6.000;7.000;5.000;0.857;0.854
avg;287.800;2.960;4.040;2.000;0.479;0.469
min;285.000;0.000;1.000;0.000;0.000;-0.006
---
KNN
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;275.000;6.000;1.000;15.000;0.429;0.408
2;268.000;5.000;2.000;22.000;0.294;0.267
3;265.000;6.000;1.000;25.000;0.316;0.288
4;273.000;6.000;1.000;17.000;0.400;0.378
5;264.000;7.000;0.000;25.000;0.359;0.333
6;269.000;6.000;1.000;21.000;0.353;0.328
7;262.000;7.000;0.000;28.000;0.333;0.306
8;268.000;6.000;1.000;22.000;0.343;0.317
9;266.000;5.000;2.000;24.000;0.278;0.249
10;273.000;4.000;3.000;16.000;0.296;0.271
11;268.000;6.000;1.000;22.000;0.343;0.317
12;258.000;7.000;0.000;32.000;0.304;0.275
13;275.000;5.000;2.000;15.000;0.370;0.348
14;260.000;6.000;1.000;30.000;0.279;0.249
15;275.000;6.000;1.000;14.000;0.444;0.424
16;270.000;6.000;1.000;20.000;0.364;0.339
17;270.000;5.000;2.000;20.000;0.312;0.286
18;255.000;7.000;0.000;35.000;0.286;0.256
19;270.000;5.000;2.000;20.000;0.312;0.286
20;275.000;5.000;2.000;14.000;0.385;0.363
21;259.000;6.000;1.000;31.000;0.273;0.243
22;272.000;4.000;3.000;18.000;0.276;0.249
23;263.000;7.000;0.000;27.000;0.341;0.315
24;266.000;6.000;1.000;24.000;0.324;0.297
25;273.000;5.000;2.000;16.000;0.357;0.334
max;275.000;7.000;3.000;35.000;0.444;0.424
avg;267.680;5.760;1.240;22.120;0.335;0.309
min;255.000;4.000;0.000;14.000;0.273;0.243
